onset	duration	sample	trial_type	response_time	stim_file	value
2357.5300000000	n/a	n/a	FB: 0	n/a	n/a	S  9
2359.6160000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
2360.4160000000	n/a	n/a	Trn No Response	n/a	n/a	S105
2362.5180000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
2363.1160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
2363.1860000000	n/a	n/a	FB: 0	n/a	n/a	S  9
2365.2700000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
2366.0200000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
2368.1220000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
2368.5960000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
2368.6560000000	n/a	n/a	FB: 0	n/a	n/a	S  9
2370.7420000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
2371.2720000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
2373.3760000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
2374.0920000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
2374.1600000000	n/a	n/a	FB: 0	n/a	n/a	S  9
2376.2460000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
2376.6680000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
2376.7280000000	n/a	n/a	FB: 0	n/a	n/a	S  9
2378.8140000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
2379.3360000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
2379.3980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
2381.4820000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
2382.1320000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
2384.2340000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
2384.7800000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
2384.8520000000	n/a	n/a	FB: +1	n/a	n/a	S  8
2386.9360000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
2387.6360000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
2387.7040000000	n/a	n/a	FB: +1	n/a	n/a	S  8
2389.7900000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
2390.5900000000	n/a	n/a	Trn No Response	n/a	n/a	S105
2392.6920000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
2393.0920000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
2393.1580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
