onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
174.1680000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
174.9680000000	n/a	n/a	Trn No Response	n/a	n/a	S105
177.0880000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
177.6100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
177.6700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
179.7560000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
180.1900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
180.2560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
182.3420000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
182.9020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
182.9740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
185.0600000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
185.4420000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
185.5100000000	n/a	n/a	FB: 0	n/a	n/a	S  9
187.5960000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
188.2500000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
188.3120000000	n/a	n/a	FB: 0	n/a	n/a	S  9
190.3980000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
190.9100000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
193.0160000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
193.5820000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
193.6500000000	n/a	n/a	FB: 0	n/a	n/a	S  9
195.7340000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
196.2380000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
196.3020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
198.3860000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
198.8740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
198.9380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
201.0220000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
201.5180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
201.5900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
203.6740000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
204.1260000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
204.1920000000	n/a	n/a	FB: +1	n/a	n/a	S  8
206.2760000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
206.8140000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
206.8760000000	n/a	n/a	FB: 0	n/a	n/a	S  9
208.9620000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
209.4240000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
209.4960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
211.5800000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
212.1320000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
212.1980000000	n/a	n/a	FB: +1	n/a	n/a	S  8
214.2820000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
215.0820000000	n/a	n/a	Trn No Response	n/a	n/a	S105
217.1840000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
217.5880000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
217.6520000000	n/a	n/a	FB: 0	n/a	n/a	S  9
219.7360000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
220.3400000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
220.4040000000	n/a	n/a	FB: 0	n/a	n/a	S  9
222.4880000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
223.0960000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
223.1560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
225.2400000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
225.6760000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
225.7400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
227.8260000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
228.2040000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
230.3120000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
230.9080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
