onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
218.5800000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
220.1320000000	n/a	n/a	Trn No Response	n/a	n/a	S105
222.2340000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
222.8680000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
222.9340000000	n/a	n/a	FB: 0	n/a	n/a	S  9
225.0200000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
226.2780000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
226.3360000000	n/a	n/a	FB: +1	n/a	n/a	S  8
228.4220000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
229.9180000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
232.0240000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
233.5740000000	n/a	n/a	Trn No Response	n/a	n/a	S105
235.6780000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
236.6140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
236.6780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
238.7620000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
240.3140000000	n/a	n/a	Trn No Response	n/a	n/a	S105
242.4160000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
243.4220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
243.4840000000	n/a	n/a	FB: 0	n/a	n/a	S  9
245.5680000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
246.2500000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
246.3180000000	n/a	n/a	FB: 0	n/a	n/a	S  9
248.4040000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
249.1100000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
249.1700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
251.2560000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
252.2260000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
252.2900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
254.3740000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
255.3140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
255.3760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
257.4600000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
258.2380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
258.2940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
260.3800000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
260.4300000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
260.4960000000	n/a	n/a	FB: +1	n/a	n/a	S  8
262.5820000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
263.6420000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
263.6980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
265.7840000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
267.2660000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
267.3340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
269.4200000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
270.9100000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
270.9700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
273.0560000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
274.0220000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
276.1240000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
277.0340000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
277.0920000000	n/a	n/a	FB: 0	n/a	n/a	S  9
279.1780000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
280.1100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
280.1780000000	n/a	n/a	FB: +1	n/a	n/a	S  8
282.2620000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
283.3780000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
283.4480000000	n/a	n/a	FB: +1	n/a	n/a	S  8
285.5320000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
286.7620000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
286.8340000000	n/a	n/a	FB: 0	n/a	n/a	S  9
288.9180000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
289.7060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
289.7680000000	n/a	n/a	FB: 0	n/a	n/a	S  9
291.8540000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
292.8500000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
292.9220000000	n/a	n/a	FB: +1	n/a	n/a	S  8
295.0060000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
296.4020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
296.4740000000	n/a	n/a	FB: 0	n/a	n/a	S  9
