onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
546.1760000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
546.8000000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
546.8780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
548.9620000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
549.6120000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
549.6800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
551.7640000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
552.5120000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
552.5820000000	n/a	n/a	FB: +1	n/a	n/a	S  8
554.6660000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
555.3680000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
555.4340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
557.5180000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
558.0640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
558.1360000000	n/a	n/a	FB: +1	n/a	n/a	S  8
560.2200000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
560.9080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
560.9720000000	n/a	n/a	FB: +1	n/a	n/a	S  8
563.0560000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
563.6240000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
563.6900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
565.7740000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
566.5760000000	n/a	n/a	Trn No Response	n/a	n/a	S105
568.6780000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
569.3040000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
569.3620000000	n/a	n/a	FB: 0	n/a	n/a	S  9
571.4460000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
572.2460000000	n/a	n/a	Trn No Response	n/a	n/a	S105
574.3480000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
574.9000000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
574.9660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
577.0500000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
577.5560000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
577.6180000000	n/a	n/a	FB: +1	n/a	n/a	S  8
579.7020000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
580.2120000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
580.2700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
582.3540000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
582.9760000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
583.0380000000	n/a	n/a	FB: 0	n/a	n/a	S  9
585.1240000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
585.7640000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
585.8240000000	n/a	n/a	FB: 0	n/a	n/a	S  9
587.9080000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
588.5360000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
588.6100000000	n/a	n/a	FB: +1	n/a	n/a	S  8
590.6940000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
591.3440000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
591.4120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
593.4960000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
594.2960000000	n/a	n/a	Trn No Response	n/a	n/a	S105
596.3980000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
596.8000000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
596.8660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
598.9500000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
599.3600000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
599.4180000000	n/a	n/a	FB: +1	n/a	n/a	S  8
601.5020000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
602.1720000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
602.2360000000	n/a	n/a	FB: 0	n/a	n/a	S  9
604.3220000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
604.8680000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
604.9380000000	n/a	n/a	FB: 0	n/a	n/a	S  9
607.0240000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
607.7280000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
607.7900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
609.8760000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
610.6520000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
610.7100000000	n/a	n/a	FB: 0	n/a	n/a	S  9
612.7940000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
613.3240000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
613.3940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
615.4800000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
616.2020000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
616.2640000000	n/a	n/a	FB: 0	n/a	n/a	S  9
618.3480000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
618.7660000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
620.8680000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
621.6300000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
621.7020000000	n/a	n/a	FB: 0	n/a	n/a	S  9
623.7860000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
624.5860000000	n/a	n/a	Trn No Response	n/a	n/a	S105
626.6880000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
627.3180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
627.3880000000	n/a	n/a	FB: +1	n/a	n/a	S  8
629.4740000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
630.0660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
630.1240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
632.2100000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
632.9380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
633.0100000000	n/a	n/a	FB: +1	n/a	n/a	S  8
635.0940000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
635.6220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
635.6960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
637.7800000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
638.3180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
638.3800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
640.4660000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
641.0100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
641.0820000000	n/a	n/a	FB: 0	n/a	n/a	S  9
643.1680000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
643.8140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
643.8840000000	n/a	n/a	FB: 0	n/a	n/a	S  9
645.9700000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
646.4660000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
646.5360000000	n/a	n/a	FB: +1	n/a	n/a	S  8
648.6220000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
649.1500000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
649.2220000000	n/a	n/a	FB: +1	n/a	n/a	S  8
651.3080000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
652.0180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
652.0920000000	n/a	n/a	FB: 0	n/a	n/a	S  9
654.1760000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
654.9760000000	n/a	n/a	Trn No Response	n/a	n/a	S105
657.0780000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
657.5460000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
659.6460000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
660.1660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
660.2300000000	n/a	n/a	FB: 0	n/a	n/a	S  9
662.3160000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
662.9220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
662.9820000000	n/a	n/a	FB: +1	n/a	n/a	S  8
665.0680000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
665.8380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
665.9020000000	n/a	n/a	FB: 0	n/a	n/a	S  9
667.9860000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
668.4780000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
668.5380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
670.6220000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
671.0860000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
671.1560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
673.2400000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
673.8620000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
673.9240000000	n/a	n/a	FB: 0	n/a	n/a	S  9
676.0100000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
676.6980000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
676.7600000000	n/a	n/a	FB: +1	n/a	n/a	S  8
678.8440000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
679.3500000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
679.4120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
681.4980000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
682.2860000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
682.3480000000	n/a	n/a	FB: 0	n/a	n/a	S  9
684.4320000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
684.9340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
685.0000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
687.0840000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
687.5460000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
687.6180000000	n/a	n/a	FB: +1	n/a	n/a	S  8
689.7040000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
690.4060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
690.4700000000	n/a	n/a	FB: +1	n/a	n/a	S  8
692.5560000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
693.0900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
693.1560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
695.2400000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
695.7300000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
695.7920000000	n/a	n/a	FB: 0	n/a	n/a	S  9
697.8760000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
698.5260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
698.5940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
700.6780000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
701.2460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
701.3120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
