onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
303.3180000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
304.1200000000	n/a	n/a	Trn No Response	n/a	n/a	S105
306.2380000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
307.0380000000	n/a	n/a	Trn No Response	n/a	n/a	S105
309.1400000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
309.7540000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
309.8240000000	n/a	n/a	FB: 0	n/a	n/a	S  9
311.9080000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
312.4420000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
312.5100000000	n/a	n/a	FB: +1	n/a	n/a	S  8
314.5940000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
315.3620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
315.4280000000	n/a	n/a	FB: 0	n/a	n/a	S  9
317.5140000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
318.2100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
318.2800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
320.3660000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
320.9180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
320.9820000000	n/a	n/a	FB: +1	n/a	n/a	S  8
323.0680000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
323.8680000000	n/a	n/a	Trn No Response	n/a	n/a	S105
325.9700000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
326.4360000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
326.5040000000	n/a	n/a	FB: +1	n/a	n/a	S  8
328.5880000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
329.3320000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
329.4060000000	n/a	n/a	FB: +1	n/a	n/a	S  8
331.4900000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
332.1480000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
334.2600000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
334.7400000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
334.8100000000	n/a	n/a	FB: 0	n/a	n/a	S  9
336.8940000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
337.6940000000	n/a	n/a	Trn No Response	n/a	n/a	S105
339.7960000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
340.3640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
340.4300000000	n/a	n/a	FB: 0	n/a	n/a	S  9
342.5160000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
343.0640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
343.1320000000	n/a	n/a	FB: 0	n/a	n/a	S  9
345.2180000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
345.8080000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
345.8680000000	n/a	n/a	FB: +1	n/a	n/a	S  8
347.9540000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
348.6120000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
348.6700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
350.7560000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
351.3120000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
351.3720000000	n/a	n/a	FB: +1	n/a	n/a	S  8
353.4580000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
354.2580000000	n/a	n/a	Trn No Response	n/a	n/a	S105
356.3600000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
356.8800000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
356.9440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
359.0280000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
