onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
310.6620000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
311.4620000000	n/a	n/a	Trn No Response	n/a	n/a	S105
313.5640000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
314.3320000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
314.3980000000	n/a	n/a	FB: +1	n/a	n/a	S  8
316.4820000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
317.0840000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
317.1500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
319.2340000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
319.8080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
319.8680000000	n/a	n/a	FB: 0	n/a	n/a	S  9
321.9540000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
322.7540000000	n/a	n/a	Trn No Response	n/a	n/a	S105
324.8560000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
325.3720000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
325.4400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
327.5240000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
328.1160000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
328.1760000000	n/a	n/a	FB: 0	n/a	n/a	S  9
330.2600000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
330.7160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
330.7780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
332.8620000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
333.3880000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
333.4460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
335.5300000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
336.0720000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
336.1320000000	n/a	n/a	FB: 0	n/a	n/a	S  9
338.2160000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
338.8360000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
338.9000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
340.9860000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
341.5800000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
341.6520000000	n/a	n/a	FB: +1	n/a	n/a	S  8
343.7380000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
344.4080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
344.4720000000	n/a	n/a	FB: +1	n/a	n/a	S  8
346.5560000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
347.3560000000	n/a	n/a	Trn No Response	n/a	n/a	S105
349.4580000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
350.0680000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
350.1260000000	n/a	n/a	FB: +1	n/a	n/a	S  8
352.2100000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
352.6920000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
352.7600000000	n/a	n/a	FB: +1	n/a	n/a	S  8
354.8460000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
355.4280000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
355.4960000000	n/a	n/a	FB: +1	n/a	n/a	S  8
357.5820000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
358.1000000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
358.1640000000	n/a	n/a	FB: +1	n/a	n/a	S  8
360.2500000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
360.6800000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
360.7500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
362.8360000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
363.5320000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
363.6020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
365.6880000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
366.3160000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
366.3880000000	n/a	n/a	FB: 0	n/a	n/a	S  9
368.4720000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
368.9720000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
369.0400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
371.1240000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
371.7920000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
371.8580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
373.9440000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
