onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
304.7840000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
305.5840000000	n/a	n/a	Trn No Response	n/a	n/a	S105
307.6860000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
308.2440000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
308.3200000000	n/a	n/a	FB: +1	n/a	n/a	S  8
310.4060000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
311.1160000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
313.2240000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
314.0240000000	n/a	n/a	Trn No Response	n/a	n/a	S105
316.1260000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
316.6200000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
316.6940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
318.7780000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
319.4520000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
319.5120000000	n/a	n/a	FB: 0	n/a	n/a	S  9
321.5980000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
322.3980000000	n/a	n/a	Trn No Response	n/a	n/a	S105
324.5000000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
325.1400000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
325.2000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
327.2840000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
328.0040000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
328.0680000000	n/a	n/a	FB: +1	n/a	n/a	S  8
330.1540000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
330.9360000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
331.0040000000	n/a	n/a	FB: +1	n/a	n/a	S  8
333.0900000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
333.8000000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
333.8560000000	n/a	n/a	FB: 0	n/a	n/a	S  9
335.9420000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
336.7120000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
