onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
318.3880000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
319.0120000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
319.0880000000	n/a	n/a	FB: +1	n/a	n/a	S  8
321.1740000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
321.7540000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
321.8240000000	n/a	n/a	FB: 0	n/a	n/a	S  9
323.9100000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
324.2820000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
324.3420000000	n/a	n/a	FB: +1	n/a	n/a	S  8
326.4280000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
326.8220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
326.8940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
328.9800000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
329.3700000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
329.4300000000	n/a	n/a	FB: +1	n/a	n/a	S  8
331.5140000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
331.8860000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
331.9480000000	n/a	n/a	FB: 0	n/a	n/a	S  9
334.0340000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
334.3580000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
336.4680000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
336.9780000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
337.0360000000	n/a	n/a	FB: +1	n/a	n/a	S  8
339.1200000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
339.5140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
339.5880000000	n/a	n/a	FB: +1	n/a	n/a	S  8
341.6720000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
342.3740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
342.4400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
344.5240000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
345.2340000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
347.3440000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
347.7780000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
347.8440000000	n/a	n/a	FB: +1	n/a	n/a	S  8
349.9300000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
350.5740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
350.6460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
352.7320000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
353.5220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
353.5820000000	n/a	n/a	FB: +1	n/a	n/a	S  8
355.6660000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
356.2260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
356.2840000000	n/a	n/a	FB: 0	n/a	n/a	S  9
358.3680000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
358.9940000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
359.0520000000	n/a	n/a	FB: 0	n/a	n/a	S  9
361.1380000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
361.4620000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
361.5220000000	n/a	n/a	FB: 0	n/a	n/a	S  9
363.6060000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
364.1980000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
364.2560000000	n/a	n/a	FB: 0	n/a	n/a	S  9
366.3420000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
366.7260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
366.7920000000	n/a	n/a	FB: 0	n/a	n/a	S  9
368.8760000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
369.3740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
369.4440000000	n/a	n/a	FB: +1	n/a	n/a	S  8
371.5280000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
371.9060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
371.9800000000	n/a	n/a	FB: 0	n/a	n/a	S  9
374.0640000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
374.5380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
374.5980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
376.6820000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
377.0940000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
377.1660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
379.2520000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
379.6140000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
379.6860000000	n/a	n/a	FB: 0	n/a	n/a	S  9
381.7700000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
382.2540000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
382.3200000000	n/a	n/a	FB: +1	n/a	n/a	S  8
384.4060000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
384.9260000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
384.9900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
387.0740000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
387.4700000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
387.5420000000	n/a	n/a	FB: 0	n/a	n/a	S  9
389.6260000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
389.9900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
390.0600000000	n/a	n/a	FB: +1	n/a	n/a	S  8
392.1440000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
