onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
432.3520000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
433.1520000000	n/a	n/a	Trn No Response	n/a	n/a	S105
435.2700000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
435.8080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
435.8700000000	n/a	n/a	FB: +1	n/a	n/a	S  8
437.9560000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
438.4620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
438.5220000000	n/a	n/a	FB: 0	n/a	n/a	S  9
440.6080000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
441.0660000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
441.1240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
443.2100000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
443.6420000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
443.7100000000	n/a	n/a	FB: +1	n/a	n/a	S  8
445.7940000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
446.4020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
446.4620000000	n/a	n/a	FB: +1	n/a	n/a	S  8
448.5460000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
449.0540000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
449.1140000000	n/a	n/a	FB: 0	n/a	n/a	S  9
451.1980000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
451.8700000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
451.9320000000	n/a	n/a	FB: +1	n/a	n/a	S  8
454.0180000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
454.4940000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
454.5680000000	n/a	n/a	FB: 0	n/a	n/a	S  9
456.6540000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
457.1380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
457.2040000000	n/a	n/a	FB: +1	n/a	n/a	S  8
459.2880000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
459.8100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
459.8720000000	n/a	n/a	FB: 0	n/a	n/a	S  9
