onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
406.2940000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
407.0940000000	n/a	n/a	Trn No Response	n/a	n/a	S105
409.2120000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
409.6900000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
409.7620000000	n/a	n/a	FB: +1	n/a	n/a	S  8
411.8480000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
412.4460000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
414.5500000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
415.3060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
415.3660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
417.4520000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
418.2520000000	n/a	n/a	Trn No Response	n/a	n/a	S105
420.3540000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
420.9060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
420.9700000000	n/a	n/a	FB: +1	n/a	n/a	S  8
423.0560000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
423.5220000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
423.5900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
425.6740000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
426.4700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
426.5420000000	n/a	n/a	FB: 0	n/a	n/a	S  9
428.6260000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
429.3700000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
431.4800000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
432.1700000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
432.2300000000	n/a	n/a	FB: +1	n/a	n/a	S  8
434.3140000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
434.8580000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
434.9160000000	n/a	n/a	FB: 0	n/a	n/a	S  9
437.0000000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
437.8000000000	n/a	n/a	Trn No Response	n/a	n/a	S105
439.9020000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
440.6180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
440.6860000000	n/a	n/a	FB: 0	n/a	n/a	S  9
442.7720000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
443.3620000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
443.4220000000	n/a	n/a	FB: 0	n/a	n/a	S  9
445.5060000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
446.1740000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
446.2400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
448.3260000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
449.0820000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
449.1420000000	n/a	n/a	FB: 0	n/a	n/a	S  9
451.2280000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
451.9940000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
452.0620000000	n/a	n/a	FB: 0	n/a	n/a	S  9
454.1460000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
454.7740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
454.8460000000	n/a	n/a	FB: +1	n/a	n/a	S  8
456.9320000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
457.5620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
457.6320000000	n/a	n/a	FB: 0	n/a	n/a	S  9
459.7180000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
460.4380000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
462.5360000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
463.1940000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
463.2540000000	n/a	n/a	FB: +1	n/a	n/a	S  8
465.3380000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
465.9740000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
466.0380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
468.1240000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
468.9240000000	n/a	n/a	Trn No Response	n/a	n/a	S105
471.0260000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
471.7300000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
471.7940000000	n/a	n/a	FB: +1	n/a	n/a	S  8
473.8780000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
474.6180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
474.6780000000	n/a	n/a	FB: +1	n/a	n/a	S  8
476.7640000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
477.4660000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
477.5300000000	n/a	n/a	FB: +1	n/a	n/a	S  8
479.6160000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
480.3000000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
480.3660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
482.4520000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
483.1520000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
483.2180000000	n/a	n/a	FB: +1	n/a	n/a	S  8
485.3040000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
485.9000000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
488.0060000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
488.6520000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
488.7220000000	n/a	n/a	FB: +1	n/a	n/a	S  8
490.8080000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
491.5800000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
491.6420000000	n/a	n/a	FB: 0	n/a	n/a	S  9
493.7260000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
494.5200000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
494.5940000000	n/a	n/a	FB: +1	n/a	n/a	S  8
496.6800000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
497.3400000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
497.4120000000	n/a	n/a	FB: 0	n/a	n/a	S  9
499.4980000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
500.0760000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
500.1480000000	n/a	n/a	FB: 0	n/a	n/a	S  9
502.2340000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
502.7920000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
504.9020000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
505.6600000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
505.7200000000	n/a	n/a	FB: 0	n/a	n/a	S  9
507.8040000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
508.2880000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
508.3540000000	n/a	n/a	FB: +1	n/a	n/a	S  8
510.4400000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
511.2280000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
511.2900000000	n/a	n/a	FB: 0	n/a	n/a	S  9
513.3760000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
514.1760000000	n/a	n/a	Trn No Response	n/a	n/a	S105
516.2780000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
516.9680000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
517.0280000000	n/a	n/a	FB: 0	n/a	n/a	S  9
519.1120000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
519.7320000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
519.7960000000	n/a	n/a	FB: +1	n/a	n/a	S  8
521.8820000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
522.6440000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
522.7160000000	n/a	n/a	FB: 0	n/a	n/a	S  9
524.8000000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
525.4560000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
525.5180000000	n/a	n/a	FB: +1	n/a	n/a	S  8
527.6020000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
528.4020000000	n/a	n/a	Trn No Response	n/a	n/a	S105
530.5040000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
531.0440000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
531.1060000000	n/a	n/a	FB: +1	n/a	n/a	S  8
533.1900000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
