onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
291.9440000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
292.7460000000	n/a	n/a	Trn No Response	n/a	n/a	S105
294.8260000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
295.6260000000	n/a	n/a	Trn No Response	n/a	n/a	S105
297.7000000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
298.2980000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
298.3580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
300.4180000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
300.9880000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
301.0460000000	n/a	n/a	FB: +1	n/a	n/a	S  8
303.1060000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
303.6800000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
303.7380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
305.7980000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
306.2280000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
306.2880000000	n/a	n/a	FB: 0	n/a	n/a	S  9
308.3480000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
309.0680000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
309.1260000000	n/a	n/a	FB: 0	n/a	n/a	S  9
311.1860000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
311.7840000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
311.8420000000	n/a	n/a	FB: +1	n/a	n/a	S  8
313.9020000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
314.5440000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
314.6020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
316.6620000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
317.1200000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
317.1780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
319.2380000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
319.8640000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
319.9220000000	n/a	n/a	FB: +1	n/a	n/a	S  8
321.9820000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
322.5960000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
322.6540000000	n/a	n/a	FB: 0	n/a	n/a	S  9
324.7140000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
325.1840000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
325.2420000000	n/a	n/a	FB: +1	n/a	n/a	S  8
327.3020000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
327.9360000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
327.9940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
330.0540000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
330.6320000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
330.6900000000	n/a	n/a	FB: 0	n/a	n/a	S  9
332.7500000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
333.4160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
333.4740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
335.5340000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
335.9920000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
336.0500000000	n/a	n/a	FB: 0	n/a	n/a	S  9
338.1100000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
338.6640000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
338.7220000000	n/a	n/a	FB: 0	n/a	n/a	S  9
340.7820000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
341.4400000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
341.4980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
343.5580000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
