onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
465.8460000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
466.6460000000	n/a	n/a	Trn No Response	n/a	n/a	S105
468.7480000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
469.5480000000	n/a	n/a	Trn No Response	n/a	n/a	S105
471.6500000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
472.4500000000	n/a	n/a	Trn No Response	n/a	n/a	S105
474.5520000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
475.3520000000	n/a	n/a	Trn No Response	n/a	n/a	S105
477.4540000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
478.2540000000	n/a	n/a	Trn No Response	n/a	n/a	S105
480.3580000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
480.9220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
480.9900000000	n/a	n/a	FB: 0	n/a	n/a	S  9
483.0760000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
483.8760000000	n/a	n/a	Trn No Response	n/a	n/a	S105
485.9780000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
486.4680000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
488.5800000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
489.3800000000	n/a	n/a	Trn No Response	n/a	n/a	S105
491.4820000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
491.9560000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
492.0160000000	n/a	n/a	FB: 0	n/a	n/a	S  9
494.1000000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
494.5480000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
496.6520000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
497.2040000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
497.2700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
499.3540000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
499.8960000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
499.9560000000	n/a	n/a	FB: 0	n/a	n/a	S  9
502.0400000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
502.6680000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
502.7400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
504.8260000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
505.5160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
505.5760000000	n/a	n/a	FB: 0	n/a	n/a	S  9
507.6620000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
508.0600000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
508.1280000000	n/a	n/a	FB: +1	n/a	n/a	S  8
510.2140000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
510.9160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
510.9800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
513.0660000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
513.8660000000	n/a	n/a	Trn No Response	n/a	n/a	S105
515.9680000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
516.4400000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
516.5020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
518.5860000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
518.9960000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
519.0700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
521.1540000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
521.9120000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
521.9720000000	n/a	n/a	FB: +1	n/a	n/a	S  8
524.0580000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
524.5360000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
524.6080000000	n/a	n/a	FB: 0	n/a	n/a	S  9
526.6920000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
527.2000000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
527.2600000000	n/a	n/a	FB: +1	n/a	n/a	S  8
529.3440000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
529.9640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
530.0280000000	n/a	n/a	FB: 0	n/a	n/a	S  9
532.1140000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
532.8040000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
532.8640000000	n/a	n/a	FB: +1	n/a	n/a	S  8
534.9480000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
535.7400000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
535.8000000000	n/a	n/a	FB: 0	n/a	n/a	S  9
537.8840000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
538.6840000000	n/a	n/a	Trn No Response	n/a	n/a	S105
540.7860000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
541.5440000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
541.6040000000	n/a	n/a	FB: +1	n/a	n/a	S  8
543.6880000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
544.4440000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
544.5060000000	n/a	n/a	FB: +1	n/a	n/a	S  8
546.5920000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
547.1280000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
547.1920000000	n/a	n/a	FB: 0	n/a	n/a	S  9
549.2760000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
549.8160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
549.8780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
551.9620000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
552.7000000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
552.7620000000	n/a	n/a	FB: +1	n/a	n/a	S  8
554.8480000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
555.3200000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
555.3820000000	n/a	n/a	FB: 0	n/a	n/a	S  9
557.4660000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
558.2660000000	n/a	n/a	Trn No Response	n/a	n/a	S105
560.3680000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
561.1120000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
561.1860000000	n/a	n/a	FB: 0	n/a	n/a	S  9
563.2700000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
564.0700000000	n/a	n/a	Trn No Response	n/a	n/a	S105
566.1720000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
566.7760000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
566.8400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
568.9240000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
569.7260000000	n/a	n/a	Trn No Response	n/a	n/a	S105
571.8280000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
572.2160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
572.2780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
574.3620000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
575.1620000000	n/a	n/a	Trn No Response	n/a	n/a	S105
577.2640000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
578.0640000000	n/a	n/a	Trn No Response	n/a	n/a	S105
580.1660000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
580.6720000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
580.7340000000	n/a	n/a	FB: 0	n/a	n/a	S  9
582.8180000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
583.4720000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
583.5360000000	n/a	n/a	FB: 0	n/a	n/a	S  9
585.6220000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
586.2200000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
586.2880000000	n/a	n/a	FB: +1	n/a	n/a	S  8
588.3740000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
589.0000000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
589.0580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
591.1420000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
591.9420000000	n/a	n/a	Trn No Response	n/a	n/a	S105
594.0440000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
594.4960000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
594.5620000000	n/a	n/a	FB: +1	n/a	n/a	S  8
596.6460000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
597.0120000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
597.0800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
599.1640000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
599.6000000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
599.6660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
601.7500000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
602.4160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
602.4840000000	n/a	n/a	FB: 0	n/a	n/a	S  9
604.5680000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
604.9800000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
605.0520000000	n/a	n/a	FB: +1	n/a	n/a	S  8
607.1380000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
607.5840000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
609.6900000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
610.4400000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
610.5060000000	n/a	n/a	FB: 0	n/a	n/a	S  9
612.5920000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
613.3920000000	n/a	n/a	Trn No Response	n/a	n/a	S105
615.4940000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
616.2520000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
616.3120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
618.3960000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
618.8840000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
618.9460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
621.0320000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
621.5600000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
621.6320000000	n/a	n/a	FB: +1	n/a	n/a	S  8
623.7160000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
624.3360000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
624.4000000000	n/a	n/a	FB: 0	n/a	n/a	S  9
626.4860000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
627.2860000000	n/a	n/a	Trn No Response	n/a	n/a	S105
629.3880000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
630.0180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
630.0880000000	n/a	n/a	FB: 0	n/a	n/a	S  9
632.1740000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
632.6940000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
632.7580000000	n/a	n/a	FB: 0	n/a	n/a	S  9
634.8420000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
635.3740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
635.4420000000	n/a	n/a	FB: +1	n/a	n/a	S  8
637.5280000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
638.2500000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
638.3120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
640.3960000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
640.9140000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
643.0160000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
643.5620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
643.6320000000	n/a	n/a	FB: 0	n/a	n/a	S  9
645.7180000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
646.1380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
646.2000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
648.2860000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
648.8900000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
650.9880000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
651.6860000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
651.7560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
653.8400000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
654.4220000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
654.4900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
656.5760000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
657.0660000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
657.1260000000	n/a	n/a	FB: +1	n/a	n/a	S  8
659.2100000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
659.7260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
659.7940000000	n/a	n/a	FB: +1	n/a	n/a	S  8
661.8800000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
662.5020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
662.5640000000	n/a	n/a	FB: 0	n/a	n/a	S  9
664.6480000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
665.3020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
665.3660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
667.4500000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
668.0740000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
668.1340000000	n/a	n/a	FB: 0	n/a	n/a	S  9
670.2200000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
670.8060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
670.8700000000	n/a	n/a	FB: +1	n/a	n/a	S  8
672.9540000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
673.4860000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
673.5560000000	n/a	n/a	FB: 0	n/a	n/a	S  9
675.6400000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
676.1460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
676.2080000000	n/a	n/a	FB: 0	n/a	n/a	S  9
678.2920000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
678.8820000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
678.9420000000	n/a	n/a	FB: +1	n/a	n/a	S  8
681.0280000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
681.6060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
681.6780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
683.7640000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
684.3420000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
684.4140000000	n/a	n/a	FB: 0	n/a	n/a	S  9
686.4980000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
687.1260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
687.1980000000	n/a	n/a	FB: +1	n/a	n/a	S  8
689.2840000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
690.0620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
690.1340000000	n/a	n/a	FB: 0	n/a	n/a	S  9
692.2200000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
692.7140000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
692.7860000000	n/a	n/a	FB: 0	n/a	n/a	S  9
694.8720000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
695.3460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
695.4060000000	n/a	n/a	FB: 0	n/a	n/a	S  9
697.4900000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
698.0060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
698.0740000000	n/a	n/a	FB: 0	n/a	n/a	S  9
700.1580000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
700.7900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
700.8600000000	n/a	n/a	FB: 0	n/a	n/a	S  9
702.9440000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
703.5980000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
703.6620000000	n/a	n/a	FB: +1	n/a	n/a	S  8
705.7460000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
706.3780000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
706.4480000000	n/a	n/a	FB: +1	n/a	n/a	S  8
708.5320000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
709.0380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
709.1000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
711.1840000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
711.9300000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
712.0020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
714.0860000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
714.5540000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
714.6200000000	n/a	n/a	FB: +1	n/a	n/a	S  8
716.7040000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
717.1460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
717.2060000000	n/a	n/a	FB: 0	n/a	n/a	S  9
719.2900000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
719.7620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
719.8240000000	n/a	n/a	FB: 0	n/a	n/a	S  9
721.9080000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
722.3580000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
722.4260000000	n/a	n/a	FB: +1	n/a	n/a	S  8
724.5100000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
725.0620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
725.1280000000	n/a	n/a	FB: 0	n/a	n/a	S  9
727.2140000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
727.6700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
727.7300000000	n/a	n/a	FB: +1	n/a	n/a	S  8
729.8160000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
730.5540000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
730.6160000000	n/a	n/a	FB: +1	n/a	n/a	S  8
732.7000000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
733.4180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
733.4840000000	n/a	n/a	FB: +1	n/a	n/a	S  8
735.5700000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
736.3700000000	n/a	n/a	Trn No Response	n/a	n/a	S105
738.4720000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
739.0660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
739.1380000000	n/a	n/a	FB: 0	n/a	n/a	S  9
741.2240000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
741.8660000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
741.9240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
744.0100000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
744.5260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
744.5940000000	n/a	n/a	FB: +1	n/a	n/a	S  8
746.6780000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
747.2140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
747.2780000000	n/a	n/a	FB: +1	n/a	n/a	S  8
766.2880000000	n/a	n/a	Test Stim: CA	n/a	n/a	S 31
768.2420000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
769.3120000000	n/a	n/a	Test Stim: DB	n/a	n/a	S 42
770.3660000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
771.4300000000	n/a	n/a	Test Stim: BA	n/a	n/a	S 21
772.4940000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
773.5660000000	n/a	n/a	Test Stim: DB	n/a	n/a	S 42
774.8660000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
