onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
184.7600000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
185.5600000000	n/a	n/a	Trn No Response	n/a	n/a	S105
187.6620000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
188.2180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
188.2780000000	n/a	n/a	FB: +1	n/a	n/a	S  8
190.3640000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
191.0060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
191.0640000000	n/a	n/a	FB: 0	n/a	n/a	S  9
193.1500000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
193.8620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
193.9340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
196.0180000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
196.8180000000	n/a	n/a	Trn No Response	n/a	n/a	S105
198.9200000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
199.7200000000	n/a	n/a	Trn No Response	n/a	n/a	S105
201.8220000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
202.5100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
202.5740000000	n/a	n/a	FB: 0	n/a	n/a	S  9
204.6580000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
205.4020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
205.4760000000	n/a	n/a	FB: 0	n/a	n/a	S  9
207.5600000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
208.2540000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
208.3100000000	n/a	n/a	FB: 0	n/a	n/a	S  9
210.3960000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
211.1380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
211.1960000000	n/a	n/a	FB: +1	n/a	n/a	S  8
213.2820000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
213.9820000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
214.0480000000	n/a	n/a	FB: +1	n/a	n/a	S  8
216.1340000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
216.8420000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
216.9000000000	n/a	n/a	FB: 0	n/a	n/a	S  9
218.9860000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
219.7860000000	n/a	n/a	Trn No Response	n/a	n/a	S105
221.8880000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
222.4660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
222.5380000000	n/a	n/a	FB: 0	n/a	n/a	S  9
224.6240000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
225.2900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
225.3580000000	n/a	n/a	FB: 0	n/a	n/a	S  9
227.4420000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
228.2420000000	n/a	n/a	Trn No Response	n/a	n/a	S105
230.3440000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
