onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
246.2360000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
246.7360000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
246.8040000000	n/a	n/a	FB: 0	n/a	n/a	S  9
248.8880000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
249.5760000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
249.6380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
251.7240000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
252.2840000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
252.3400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
254.4260000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
254.8640000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
254.9260000000	n/a	n/a	FB: +1	n/a	n/a	S  8
257.0120000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
257.7800000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
257.8460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
259.9300000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
260.7040000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
260.7640000000	n/a	n/a	FB: 0	n/a	n/a	S  9
262.8500000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
263.3920000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
263.4500000000	n/a	n/a	FB: 0	n/a	n/a	S  9
265.5340000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
266.2880000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
266.3520000000	n/a	n/a	FB: 0	n/a	n/a	S  9
268.4360000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
268.8880000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
268.9540000000	n/a	n/a	FB: +1	n/a	n/a	S  8
271.0380000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
271.6320000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
271.6900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
273.7740000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
274.4080000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
274.4740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
276.5600000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
277.1980000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
277.2600000000	n/a	n/a	FB: +1	n/a	n/a	S  8
279.3440000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
279.8700000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
279.9280000000	n/a	n/a	FB: 0	n/a	n/a	S  9
282.0140000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
282.8140000000	n/a	n/a	Trn No Response	n/a	n/a	S105
284.9160000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
285.5660000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
285.6340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
287.7180000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
288.3860000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
288.4520000000	n/a	n/a	FB: 0	n/a	n/a	S  9
290.5360000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
291.2620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
291.3200000000	n/a	n/a	FB: 0	n/a	n/a	S  9
293.4060000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
294.1660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
294.2400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
296.3240000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
297.1240000000	n/a	n/a	Trn No Response	n/a	n/a	S105
299.2260000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
299.7820000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
299.8440000000	n/a	n/a	FB: +1	n/a	n/a	S  8
301.9300000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
302.5780000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
302.6460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
304.7320000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
305.2140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
305.2820000000	n/a	n/a	FB: +1	n/a	n/a	S  8
307.3660000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
307.7740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
307.8340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
309.9180000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
310.3860000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
310.4520000000	n/a	n/a	FB: +1	n/a	n/a	S  8
312.5380000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
313.1100000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
313.1700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
315.2560000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
315.7980000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
315.8560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
317.9420000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
318.4100000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
318.4740000000	n/a	n/a	FB: 0	n/a	n/a	S  9
320.5600000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
321.1180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
321.1780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
323.2620000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
323.7380000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
323.7960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
325.8800000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
326.3300000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
326.3980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
328.4820000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
329.1580000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
329.2160000000	n/a	n/a	FB: +1	n/a	n/a	S  8
331.3020000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
331.8380000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
331.9020000000	n/a	n/a	FB: 0	n/a	n/a	S  9
333.9860000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
334.5700000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
