onset	duration	sample	trial_type	response_time	stim_file	value
1249.7360000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1249.7940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1251.8800000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
1252.5200000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1252.5800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1254.6640000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
1255.4660000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1257.5680000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
1258.1440000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1258.2180000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1260.3020000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
1260.9440000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1261.0040000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1263.0880000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
1263.8880000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1265.9900000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
1266.5440000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1266.6080000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1268.6920000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
1269.4520000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1269.5260000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1271.6120000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
1272.3480000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1272.4120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1274.4960000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
1275.2200000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1275.2800000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1277.3660000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
1277.9160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1277.9820000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1280.0680000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
1280.6640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1280.7340000000	n/a	n/a	FB: 0	n/a	n/a	S  9
