onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
450.2640000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
451.0640000000	n/a	n/a	Trn No Response	n/a	n/a	S105
453.1660000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
453.9660000000	n/a	n/a	Trn No Response	n/a	n/a	S105
456.0680000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
456.8680000000	n/a	n/a	Trn No Response	n/a	n/a	S105
458.9700000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
459.7700000000	n/a	n/a	Trn No Response	n/a	n/a	S105
461.8720000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
462.6720000000	n/a	n/a	Trn No Response	n/a	n/a	S105
464.7740000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
465.3020000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
465.3760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
467.4600000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
467.9860000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
468.0440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
470.1300000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
470.6260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
470.6960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
472.7820000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
473.5300000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
473.5980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
475.6840000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
476.1580000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
476.2160000000	n/a	n/a	FB: +1	n/a	n/a	S  8
478.3020000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
478.7300000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
478.8020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
480.8880000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
481.3140000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
481.3700000000	n/a	n/a	FB: +1	n/a	n/a	S  8
483.4560000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
483.7340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
483.8060000000	n/a	n/a	FB: +1	n/a	n/a	S  8
485.8920000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
486.2020000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
488.3100000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
488.7080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
488.7760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
490.8620000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
491.2680000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
491.3280000000	n/a	n/a	FB: +1	n/a	n/a	S  8
493.4140000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
493.8040000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
495.9160000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
496.7160000000	n/a	n/a	Trn No Response	n/a	n/a	S105
498.8180000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
499.4120000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
499.4840000000	n/a	n/a	FB: 0	n/a	n/a	S  9
501.5700000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
501.9560000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
502.0200000000	n/a	n/a	FB: +1	n/a	n/a	S  8
504.1060000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
504.4000000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
506.5060000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
507.3080000000	n/a	n/a	Trn No Response	n/a	n/a	S105
509.4100000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
509.9600000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
510.0260000000	n/a	n/a	FB: 0	n/a	n/a	S  9
512.1120000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
512.5520000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
512.6120000000	n/a	n/a	FB: 0	n/a	n/a	S  9
514.6960000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
