onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
534.3360000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
535.1380000000	n/a	n/a	Trn No Response	n/a	n/a	S105
537.2380000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
537.7680000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
537.8400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
539.9240000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
540.6520000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
540.7240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
542.8100000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
543.3320000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
543.3940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
545.4780000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
546.1200000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
546.1800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
548.2640000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
548.9080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
548.9820000000	n/a	n/a	FB: +1	n/a	n/a	S  8
551.0660000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
551.7640000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
551.8340000000	n/a	n/a	FB: 0	n/a	n/a	S  9
553.9180000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
554.6720000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
554.7360000000	n/a	n/a	FB: 0	n/a	n/a	S  9
556.8200000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
557.5320000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
557.6040000000	n/a	n/a	FB: 0	n/a	n/a	S  9
559.6900000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
560.4760000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
560.5400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
562.6260000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
563.3840000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
563.4420000000	n/a	n/a	FB: +1	n/a	n/a	S  8
565.5280000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
566.2720000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
566.3440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
568.4300000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
569.2300000000	n/a	n/a	Trn No Response	n/a	n/a	S105
571.3320000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
572.1280000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
572.2000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
574.2840000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
574.9080000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
574.9680000000	n/a	n/a	FB: +1	n/a	n/a	S  8
577.0520000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
577.8520000000	n/a	n/a	Trn No Response	n/a	n/a	S105
579.9540000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
580.4560000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
580.5220000000	n/a	n/a	FB: 0	n/a	n/a	S  9
582.6080000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
582.9680000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
583.0400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
585.1260000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
585.6240000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
585.6920000000	n/a	n/a	FB: 0	n/a	n/a	S  9
587.7780000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
588.2800000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
