onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
709.3500000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
709.7880000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
709.8660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
711.9520000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
712.4080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
712.4700000000	n/a	n/a	FB: +1	n/a	n/a	S  8
714.5540000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
714.9800000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
715.0380000000	n/a	n/a	FB: 0	n/a	n/a	S  9
717.1220000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
717.4760000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
717.5400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
719.6240000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
720.0240000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
720.0920000000	n/a	n/a	FB: +1	n/a	n/a	S  8
722.1760000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
722.4880000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
722.5600000000	n/a	n/a	FB: 0	n/a	n/a	S  9
724.6460000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
725.0640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
725.1280000000	n/a	n/a	FB: 0	n/a	n/a	S  9
727.2140000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
727.6200000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
727.6800000000	n/a	n/a	FB: 0	n/a	n/a	S  9
729.7660000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
730.3600000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
730.4320000000	n/a	n/a	FB: +1	n/a	n/a	S  8
732.5180000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
732.9720000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
733.0340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
735.1200000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
735.5120000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
735.5700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
737.6540000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
738.0880000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
738.1560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
740.2400000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
740.6600000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
740.7240000000	n/a	n/a	FB: 0	n/a	n/a	S  9
742.8080000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
743.4160000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
743.4760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
745.5620000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
746.1840000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
746.2440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
748.3300000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
748.6640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
748.7300000000	n/a	n/a	FB: 0	n/a	n/a	S  9
750.8160000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
751.2800000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
751.3480000000	n/a	n/a	FB: 0	n/a	n/a	S  9
753.4340000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
