onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
671.4260000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
672.2280000000	n/a	n/a	Trn No Response	n/a	n/a	S105
674.3280000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
675.0880000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
675.1620000000	n/a	n/a	FB: 0	n/a	n/a	S  9
677.2480000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
678.0480000000	n/a	n/a	Trn No Response	n/a	n/a	S105
680.1500000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
680.7660000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
680.8340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
682.9180000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
683.7180000000	n/a	n/a	Trn No Response	n/a	n/a	S105
685.8200000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
686.5380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
686.6040000000	n/a	n/a	FB: +1	n/a	n/a	S  8
688.6900000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
689.4140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
689.4740000000	n/a	n/a	FB: 0	n/a	n/a	S  9
691.5580000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
692.3380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
692.4100000000	n/a	n/a	FB: 0	n/a	n/a	S  9
694.4940000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
695.2940000000	n/a	n/a	Trn No Response	n/a	n/a	S105
697.3960000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
697.9860000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
698.0480000000	n/a	n/a	FB: +1	n/a	n/a	S  8
700.1320000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
700.9020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
700.9660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
703.0500000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
703.4980000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
703.5680000000	n/a	n/a	FB: +1	n/a	n/a	S  8
705.6520000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
706.1420000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
708.2380000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
709.0380000000	n/a	n/a	Trn No Response	n/a	n/a	S105
711.1400000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
711.8380000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
711.9080000000	n/a	n/a	FB: +1	n/a	n/a	S  8
713.9920000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
714.5500000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
714.6100000000	n/a	n/a	FB: 0	n/a	n/a	S  9
716.6940000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
717.4140000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
717.4780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
719.5640000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
720.1620000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
720.2300000000	n/a	n/a	FB: 0	n/a	n/a	S  9
722.3160000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
722.9460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
723.0160000000	n/a	n/a	FB: +1	n/a	n/a	S  8
725.1020000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
725.7420000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
725.8020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
727.8860000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
728.5660000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
728.6380000000	n/a	n/a	FB: 0	n/a	n/a	S  9
730.7220000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
731.4980000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
731.5560000000	n/a	n/a	FB: 0	n/a	n/a	S  9
733.6420000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
734.4420000000	n/a	n/a	Trn No Response	n/a	n/a	S105
736.5440000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
737.1660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
737.2280000000	n/a	n/a	FB: 0	n/a	n/a	S  9
739.3120000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
739.7340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
739.7960000000	n/a	n/a	FB: +1	n/a	n/a	S  8
741.8820000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
742.6380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
742.6980000000	n/a	n/a	FB: +1	n/a	n/a	S  8
744.7840000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
745.5100000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
745.5840000000	n/a	n/a	FB: +1	n/a	n/a	S  8
747.6680000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
748.3460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
748.4200000000	n/a	n/a	FB: 0	n/a	n/a	S  9
750.5040000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
751.0300000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
751.0880000000	n/a	n/a	FB: +1	n/a	n/a	S  8
753.1740000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
753.6460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
753.7060000000	n/a	n/a	FB: 0	n/a	n/a	S  9
755.7920000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
756.3500000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
756.4080000000	n/a	n/a	FB: 0	n/a	n/a	S  9
758.4940000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
759.0500000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
759.1100000000	n/a	n/a	FB: +1	n/a	n/a	S  8
761.1960000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
761.9220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
761.9800000000	n/a	n/a	FB: 0	n/a	n/a	S  9
764.0640000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
764.8140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
764.8820000000	n/a	n/a	FB: 0	n/a	n/a	S  9
766.9680000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
767.5660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
767.6340000000	n/a	n/a	FB: 0	n/a	n/a	S  9
769.7200000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
770.1260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
770.1860000000	n/a	n/a	FB: +1	n/a	n/a	S  8
772.2720000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
773.0720000000	n/a	n/a	Trn No Response	n/a	n/a	S105
775.1740000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
775.7540000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
775.8240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
777.9080000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
778.3980000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
778.4600000000	n/a	n/a	FB: +1	n/a	n/a	S  8
780.5440000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
781.2300000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
781.2940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
783.3800000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
783.8500000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
783.9140000000	n/a	n/a	FB: 0	n/a	n/a	S  9
785.9980000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
786.6300000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
786.6980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
788.7840000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
789.5840000000	n/a	n/a	Trn No Response	n/a	n/a	S105
791.6860000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
792.1380000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
792.2040000000	n/a	n/a	FB: +1	n/a	n/a	S  8
794.2880000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
795.0880000000	n/a	n/a	Trn No Response	n/a	n/a	S105
797.1900000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
797.8100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
797.8740000000	n/a	n/a	FB: 0	n/a	n/a	S  9
799.9600000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
800.4900000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
800.5600000000	n/a	n/a	FB: +1	n/a	n/a	S  8
802.6440000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
803.1820000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
803.2460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
805.3300000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
805.8900000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
805.9480000000	n/a	n/a	FB: +1	n/a	n/a	S  8
808.0320000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
808.5740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
808.6320000000	n/a	n/a	FB: 0	n/a	n/a	S  9
810.7180000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
811.2700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
811.3340000000	n/a	n/a	FB: 0	n/a	n/a	S  9
813.4200000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
814.0340000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
814.1040000000	n/a	n/a	FB: 0	n/a	n/a	S  9
816.1880000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
816.7220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
816.7880000000	n/a	n/a	FB: +1	n/a	n/a	S  8
818.8740000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
819.5740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
819.6420000000	n/a	n/a	FB: +1	n/a	n/a	S  8
821.7260000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
822.2300000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
822.2940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
824.3780000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
825.0620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
825.1280000000	n/a	n/a	FB: +1	n/a	n/a	S  8
827.2140000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
827.9340000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
827.9980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
830.0820000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
830.6340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
830.7000000000	n/a	n/a	FB: 0	n/a	n/a	S  9
832.7840000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
833.5840000000	n/a	n/a	Trn No Response	n/a	n/a	S105
835.6860000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
836.2460000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
836.3040000000	n/a	n/a	FB: +1	n/a	n/a	S  8
838.3880000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
839.1140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
839.1720000000	n/a	n/a	FB: +1	n/a	n/a	S  8
841.2580000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
842.0580000000	n/a	n/a	Trn No Response	n/a	n/a	S105
844.1600000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
844.7740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
844.8440000000	n/a	n/a	FB: +1	n/a	n/a	S  8
846.9280000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
847.5980000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
849.6980000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
850.4980000000	n/a	n/a	Trn No Response	n/a	n/a	S105
852.6000000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
853.1460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
853.2180000000	n/a	n/a	FB: +1	n/a	n/a	S  8
855.3020000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
855.8700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
855.9360000000	n/a	n/a	FB: +1	n/a	n/a	S  8
858.0200000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
858.6140000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
858.6720000000	n/a	n/a	FB: 0	n/a	n/a	S  9
860.7560000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
861.3060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
861.3740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
863.4580000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
864.1900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
864.2580000000	n/a	n/a	FB: 0	n/a	n/a	S  9
866.3440000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
866.9020000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
866.9620000000	n/a	n/a	FB: 0	n/a	n/a	S  9
869.0460000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
869.5700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
869.6300000000	n/a	n/a	FB: +1	n/a	n/a	S  8
871.7140000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
872.4420000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
872.4980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
874.5840000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
875.0220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
875.0840000000	n/a	n/a	FB: +1	n/a	n/a	S  8
877.1680000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
877.7260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
877.7860000000	n/a	n/a	FB: 0	n/a	n/a	S  9
879.8720000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
880.5100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
880.5720000000	n/a	n/a	FB: 0	n/a	n/a	S  9
882.6560000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
883.2060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
883.2740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
885.3580000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
885.8340000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
887.9440000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
888.5420000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
888.6120000000	n/a	n/a	FB: 0	n/a	n/a	S  9
890.6960000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
891.2500000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
891.3140000000	n/a	n/a	FB: 0	n/a	n/a	S  9
893.3980000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
894.1060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
894.1660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
896.2500000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
896.7100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
896.7680000000	n/a	n/a	FB: +1	n/a	n/a	S  8
898.8520000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
899.4140000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
899.4860000000	n/a	n/a	FB: 0	n/a	n/a	S  9
901.5720000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
902.0940000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
902.1540000000	n/a	n/a	FB: 0	n/a	n/a	S  9
904.2400000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
904.8980000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
904.9580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
907.0420000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
907.7980000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
907.8600000000	n/a	n/a	FB: +1	n/a	n/a	S  8
909.9440000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
910.7140000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
910.7780000000	n/a	n/a	FB: +1	n/a	n/a	S  8
912.8640000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
913.6320000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
913.6980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
915.7820000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
916.3960000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
916.4660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
918.5500000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
919.1840000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
919.2520000000	n/a	n/a	FB: +1	n/a	n/a	S  8
921.3360000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
921.9640000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
922.0360000000	n/a	n/a	FB: 0	n/a	n/a	S  9
924.1220000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
924.8280000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
924.8900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
926.9740000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
927.7080000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
927.7740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
929.8600000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
930.6040000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
930.6780000000	n/a	n/a	FB: +1	n/a	n/a	S  8
932.7620000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
933.3160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
933.3800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
982.0780000000	n/a	n/a	Test Stim: AD	n/a	n/a	S 14
982.9060000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
983.9680000000	n/a	n/a	Test Stim: AD	n/a	n/a	S 14
984.6680000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
985.7360000000	n/a	n/a	Test Stim: BC	n/a	n/a	S 23
987.0840000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
988.1540000000	n/a	n/a	Test Stim: DB	n/a	n/a	S 42
990.0640000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
991.1240000000	n/a	n/a	Test Stim: AD	n/a	n/a	S 14
991.9840000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
993.0420000000	n/a	n/a	Test Stim: BA	n/a	n/a	S 21
994.3720000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
995.4440000000	n/a	n/a	Test Stim: DB	n/a	n/a	S 42
996.4000000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
997.4620000000	n/a	n/a	Test Stim: BD	n/a	n/a	S 24
998.8680000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
999.9300000000	n/a	n/a	Test Stim: BA	n/a	n/a	S 21
1000.9200000000	n/a	n/a	Test Resp: left,incorrect	n/a	n/a	S  3
1001.9820000000	n/a	n/a	Test Stim: CA	n/a	n/a	S 31
1002.7680000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
1003.8340000000	n/a	n/a	Test Stim: AC	n/a	n/a	S 13
1004.7880000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
1005.8520000000	n/a	n/a	Test Stim: AC	n/a	n/a	S 13
1006.7400000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
1007.8040000000	n/a	n/a	Test Stim: AB	n/a	n/a	S 12
1009.1240000000	n/a	n/a	Test Resp: right,incorrect	n/a	n/a	S  4
1010.1880000000	n/a	n/a	Test Stim: CD	n/a	n/a	S 34
1011.5760000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
1012.6400000000	n/a	n/a	Test Stim: BA	n/a	n/a	S 21
1014.1720000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
