onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
319.4260000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
320.2060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
320.2760000000	n/a	n/a	FB: 0	n/a	n/a	S  9
322.3620000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
323.1620000000	n/a	n/a	Trn No Response	n/a	n/a	S105
325.2640000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
325.8300000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
325.8980000000	n/a	n/a	FB: +1	n/a	n/a	S  8
327.9820000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
328.6420000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
328.7000000000	n/a	n/a	FB: 0	n/a	n/a	S  9
330.7840000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
331.3940000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
331.4520000000	n/a	n/a	FB: 0	n/a	n/a	S  9
333.5360000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
334.0380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
334.1040000000	n/a	n/a	FB: 0	n/a	n/a	S  9
336.1880000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
336.9220000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
336.9900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
339.0740000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
339.8740000000	n/a	n/a	Trn No Response	n/a	n/a	S105
341.9760000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
342.5180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
342.5760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
344.6620000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
345.1700000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
345.2280000000	n/a	n/a	FB: 0	n/a	n/a	S  9
347.3140000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
347.8460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
347.9140000000	n/a	n/a	FB: 0	n/a	n/a	S  9
350.0000000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
350.7900000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
350.8500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
352.9340000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
353.5620000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
353.6360000000	n/a	n/a	FB: +1	n/a	n/a	S  8
355.7200000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
356.3260000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
358.4220000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
359.1340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
359.2060000000	n/a	n/a	FB: +1	n/a	n/a	S  8
361.2920000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
361.8180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
361.8760000000	n/a	n/a	FB: 0	n/a	n/a	S  9
363.9600000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
364.6780000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
364.7440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
366.8280000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
367.3820000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
367.4460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
369.5300000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
370.2820000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
370.3480000000	n/a	n/a	FB: 0	n/a	n/a	S  9
372.4340000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
373.0020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
373.0660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
375.1520000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
375.6380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
375.7020000000	n/a	n/a	FB: 0	n/a	n/a	S  9
377.7880000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
378.3540000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
378.4220000000	n/a	n/a	FB: 0	n/a	n/a	S  9
380.5060000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
380.9020000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
380.9720000000	n/a	n/a	FB: 0	n/a	n/a	S  9
383.0580000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
383.8580000000	n/a	n/a	Trn No Response	n/a	n/a	S105
385.9600000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
386.4980000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
388.5960000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
