,count,mean,std,min,25%,50%,75%,max
time,1022075.0,1022074.0,590095.5650570508,0.0,511037.0,1022074.0,1533111.0,2044148.0
Fp1,1022075.0,-15120.688342056143,1470.4408904479076,-17795.3125,-16582.51953125,-15031.298828125,-13801.5625,-12438.964843749998
Fz,1022075.0,-556.4598343137734,188.4539105862089,-893.798828125,-687.548828125,-585.009765625,-482.17773437499994,145.01953125
F3,1022075.0,-19563.19495032891,1033.2219468153876,-21493.603515624996,-20431.15234375,-19540.869140625,-18663.232421875,-17944.140625
F7,1022075.0,-21076.132958639213,1005.2458481066536,-22822.265624999996,-22018.65234375,-20820.21484375,-20319.873046875,-19287.79296875
FT9,1022075.0,-24924.613550406037,483.12611401163804,-25750.488281249996,-25379.248046875,-25023.876953125,-24522.119140625,-23859.960937499996
FC5,1022075.0,-18478.427246702864,264.1293046955646,-18937.890625,-18602.880859375,-18512.744140625,-18440.576171875,-17407.373046875
FC1,1022075.0,-6997.521958192816,783.8249085695594,-8253.564453124998,-7675.68359375,-6931.201171875,-6248.73046875,-5752.050781249999
C3,1022075.0,-7450.333851421282,202.26246088676584,-7854.248046875,-7611.962890625,-7456.982421874999,-7248.046875,-7078.076171874999
T7,1022075.0,-15032.736995521136,3618.817767844507,-20683.59375,-18402.343749999996,-15023.339843749998,-11839.2822265625,-8607.51953125
TP9,1022075.0,-11678.081568372321,1219.6161563732628,-13744.23828125,-12688.427734374998,-11531.201171875,-10624.072265625,-9256.8359375
CP5,1022075.0,-17530.133342212837,543.7292247115587,-18398.828125,-18091.845703124996,-17616.9921875,-17060.302734374996,-16523.193359375
CP1,1022075.0,2278.264514026689,549.1227942480706,1602.9785156249998,1876.123046875,2097.9980468749995,2671.77734375,3725.78125
Pz,1022075.0,-8560.20447235671,1028.1617184676718,-10001.46484375,-9622.998046875,-8574.853515625,-7666.9677734375,-6862.841796875
P3,1022075.0,-7867.664868391584,337.3904717888799,-8448.828125,-8209.326171875,-7901.66015625,-7527.1484375,-7253.369140624999
