,count,mean,std,min,25%,50%,75%,max
time,1055200.0,1055199.0,609220.2927239593,0.0,527599.5,1055199.0,1582798.5,2110398.0
Fp1,1055200.0,-9453.44913703045,2761.986146373083,-15618.749999999998,-11594.83642578125,-8898.291015625,-7129.58984375,-4375.634765625
Fz,1055200.0,-1958.415218928802,214.96508713504812,-2364.55078125,-2168.798828125,-1907.0312499999998,-1772.65625,-1385.2539062499998
F3,1055200.0,1733.217125095139,759.921447211138,132.56835937499997,1080.517578125,1868.0664062499998,2431.396484375,2983.49609375
F7,1055200.0,49.48055329225206,776.6668553722249,-1574.853515625,-623.4375,132.56835937499997,730.37109375,1489.453125
FT9,1055200.0,9777.854407876617,1574.454676818252,6297.656249999999,8423.974609375,10021.484374999998,11124.4140625,12197.216796874998
FC5,1055200.0,5854.260932789326,120.58634060256948,5040.966796875,5797.802734374999,5861.816406249999,5921.240234375,6156.15234375
FC1,1055200.0,-1338.8378236667959,182.51154228588925,-1964.5996093749998,-1468.75,-1398.14453125,-1272.36328125,-768.06640625
C3,1055200.0,7027.406561422746,270.91538598920926,6240.087890625,6815.673828124999,7154.1015625,7258.740234375,7416.943359375
T7,1055200.0,8790.310792357566,202.50341960806998,7862.792968749999,8706.152343749998,8846.142578124998,8930.126953125,9154.931640624998
TP9,1055200.0,9347.536453721377,1539.9031046098955,6145.849609374999,8106.152343749999,9589.599609375,10721.533203125,11588.525390625
CP5,1055200.0,-6506.397494486013,1244.9505451793216,-9320.1171875,-7483.801269531249,-6272.8271484375,-5383.740234375,-4870.60546875
CP1,1055200.0,12853.738490083708,214.62660024577247,11954.150390625,12678.515625,12869.04296875,13025.146484375,13253.222656249998
Pz,1055200.0,17702.811630700195,825.069319410055,16037.5,17005.615234375,17776.1962890625,18416.9921875,18927.685546875
P3,1055200.0,4835.974860641792,217.8070317092531,4347.802734375,4610.3515625,4805.810546875,5020.849609375,5250.68359375
P7,1055200.0,4169.563827549354,157.6670853047895,3481.3476562499995,4067.333984375,4098.4375,4238.623046875,4691.845703125
O1,1055200.0,9960.867770735109,727.7914589728889,8447.4609375,9346.03271484375,9781.4453125,10468.408203125,11581.103515625
Oz,1055200.0,-262.2834144574932,786.5255147625668,-2045.41015625,-934.326171875,-125.63476562499999,399.07226562499994,890.6249999999999
