,count,mean,std,min,25%,50%,75%,max
time,945075.0,945074.0,545639.5943294438,0.0,472537.0,945074.0,1417611.0,1890148.0
Fp1,945075.0,-16589.187164946812,177.3615558285354,-17515.869140624996,-16724.70703125,-16647.802734374996,-16450.29296875,-15766.259765624998
Fz,945075.0,-9605.722774771513,2286.3668388861292,-12063.818359374998,-11603.271484375,-10370.068359375,-8097.705078125,-3841.552734375
F3,945075.0,4620.894858191645,516.6725894512327,3851.3183593749995,4214.257812499999,4417.7734375,4911.03515625,6066.943359374999
F7,945075.0,8585.860914953013,419.8643058234367,7661.328124999999,8261.1328125,8404.248046875,8887.6953125,10077.783203125
FT9,945075.0,-25873.598245860943,370.56743742665645,-26539.501953125,-26171.777343749996,-26010.546875,-25566.89453125,-24570.751953124996
FC5,945075.0,-3942.5002469112073,1740.38977119375,-6185.009765625,-5561.328125,-4473.73046875,-2746.3378906249995,892.7246093749999
FC1,945075.0,-9236.075149717368,802.108541266342,-10210.7421875,-9975.830078125,-9455.95703125,-8687.890625,-7436.71875
C3,945075.0,5119.921312461974,353.2056948279828,4586.962890625,4860.9375,4965.234375,5294.335937499999,6006.4453125
T7,945075.0,4606.5236639515215,696.4768572173019,3387.9394531249995,4014.94140625,4313.623046874999,5128.0517578125,6346.875
TP9,945075.0,-8569.657249992973,1615.84726161832,-10724.072265624998,-9868.066406249998,-9065.283203125,-7469.580078124999,-4811.767578125
CP5,945075.0,1561.3821299421509,964.0028422916197,376.31835937499994,656.93359375,1261.03515625,2253.662109375,3748.486328125
CP1,945075.0,8189.536036998138,134.71704052955252,8027.880859374999,8088.818359375,8116.357421875,8300.488281249998,8498.92578125
Pz,945075.0,1482.3168695378838,848.3017465879062,332.32421875,637.9150390625,1326.7578125,2191.943359375,2987.841796875
P3,945075.0,-1493.6688412315987,411.1847181717622,-1946.630859375,-1827.3925781249998,-1602.7832031249998,-1327.44140625,-444.87304687499994
P7,945075.0,-4968.466171149611,1151.3903764462445,-7446.533203124999,-5969.140625,-4556.689453124999,-3974.8535156249995,-3455.908203125
O1,945075.0,7358.392416462483,784.1165150361974,6374.90234375,6596.044921875,7167.1875,8018.84765625,8801.953125
Oz,945075.0,-10392.30957963819,647.9705718083743,-11231.15234375,-10894.3359375,-10703.02734375,-9982.275390625,-8722.0703125
O2,945075.0,2916.841298764318,517.1888479222748,2218.896484375,2417.87109375,2808.1054687499995,3335.400390625,3888.037109375
P4,945075.0,-939.0478235854297,419.98611258272865,-2152.783203125,-1166.259765625,-978.125,-676.8554687499999,-105.2734375
P8,945075.0,1519.4741355989438,837.8044573988243,484.13085937499994,786.2304687499999,1207.51953125,2225.390625,3230.1269531249995
TP10,945075.0,-8065.171967998572,1952.1296772730425,-10543.603515625,-9835.7421875,-8627.246093749998,-6619.2626953125,-3510.05859375
CP6,945075.0,-13487.881544206148,366.457472692232,-13934.521484374998,-13778.808593749998,-13634.1796875,-13361.083984375,-12468.26171875
CP2,945075.0,1273.5824559951425,409.0269516883663,720.3124999999999,914.599609375,1165.185546875,1655.224609375,2067.431640625
Cz,945075.0,8346.863790003852,276.71806620191643,7922.119140624999,8121.044921874999,8258.935546875,8522.2412109375,8968.115234374998
C4,945075.0,-5310.894216966494,895.4728323327485,-6451.07421875,-6153.125,-5547.8515625,-4587.841796875,-3323.4375
T8,945075.0,-23447.413529153193,2036.6995635723842,-25522.36328125,-25273.53515625,-24163.623046875,-22136.767578124996,-18297.0703125
FT10,945075.0,-13319.880000119865,1432.4324379641907,-15071.97265625,-14659.374999999998,-13816.357421875,-12237.59765625,-9911.669921875
FC6,945075.0,-9457.15185437085,788.4979464174471,-10927.783203125,-10125.29296875,-9696.2890625,-8828.515625,-7802.490234375
FC2,945075.0,-2677.688146805065,863.639525002552,-3682.3242187499995,-3405.224609375,-2991.9921875,-2090.0390625,-691.7968749999999
F4,945075.0,-6815.1202930839645,1329.521208735395,-8352.9296875,-8026.171875,-7239.16015625,-5867.578125,-3611.328125
F8,945075.0,-5539.682633591415,2054.678741988091,-8544.7265625,-7476.269531249999,-5783.3984375,-4074.755859375,-896.3867187499999
Fp2,945075.0,-23679.71370601581,1252.7135594490226,-25782.177734375,-24724.609374999996,-23825.09765625,-22725.927734375,-20803.3203125
AF7,945075.0,-2697.8178233932326,1058.8284657992895,-4275.439453125,-3759.1796874999995,-2906.640625,-1909.3749999999998,-133.349609375
AF3,945075.0,-4057.414022303951,595.173703693735,-4920.556640625,-4532.177734375,-4328.80859375,-3677.6855468749995,-2576.708984375
AFz,945075.0,-11364.336859839166,573.5101531683484,-12640.478515625,-11836.62109375,-11617.7734375,-10985.64453125,-9834.765625
F1,945075.0,7983.025843993037,296.3762145728356,7487.890624999999,7743.26171875,7908.300781250001,8142.1875,8704.931640625
F5,945075.0,-8273.19225656694,1389.4237392480638,-9872.412109375,-9355.957031249998,-8933.935546874998,-7419.580078125,-4224.462890625
FT7,945075.0,4043.1503626737626,1072.405787515763,2509.423828125,3079.2480468749995,3721.2402343749995,4822.0947265625,6871.191406249999
FC3,945075.0,-2163.5103585425595,663.7345758675082,-3125.29296875,-2805.615234375,-2330.95703125,-1677.197265625,-644.7265625
FCz,945075.0,4292.565188588704,547.5595575418188,3563.330078125,3769.7265625,4173.974609375,4726.953125,5327.001953124999
C1,945075.0,-1252.4384920880948,316.14681403391086,-1759.619140625,-1584.521484375,-1245.654296875,-957.080078125,-706.0546875
C5,945075.0,7089.35706119554,646.552139990332,6035.888671875,6524.072265625,6895.556640625,7537.304687499999,8835.107421875
TP7,945075.0,9026.897607229419,223.40776887012922,8633.7890625,8840.576171875,8895.3125,9269.287109375,9570.60546875
CP3,945075.0,3952.1573765743624,617.1252745868592,3085.5468749999995,3344.140625,3832.568359375,4448.828125,5120.898437499999
P1,945075.0,-4444.601947307423,1133.7527783275748,-5841.89453125,-5443.554687499999,-4808.30078125,-3600.9765625,-1928.3203125
P5,945075.0,-436.08020873632717,658.0312127298174,-1206.787109375,-985.400390625,-723.73046875,-24.072265625,1090.771484375
PO7,945075.0,2203.172583029125,382.87773427132396,1645.263671875,1920.3613281249998,2023.7304687499998,2463.916015625,3005.517578125
PO3,945075.0,7663.6422537666485,240.2727869433574,7383.7890625,7475.48828125,7583.642578125,7747.216796874999,8295.996093749998
POz,945075.0,-7195.029190804962,1036.4592732405529,-8690.91796875,-8140.380859374999,-7167.480468749999,-6299.8046875,-5233.740234375
PO4,945075.0,-3445.575393270293,941.8275447735684,-4592.96875,-4281.787109375,-3719.482421875,-2681.4453125,-1488.28125
PO8,945075.0,4045.055830400778,686.2884956417512,3108.544921875,3386.4746093749995,3913.5742187499995,4577.392578125,5352.24609375
P6,945075.0,-4739.859038190173,1256.031629681292,-6312.939453124999,-5929.4921875,-5002.63671875,-3711.81640625,-2167.578125
P2,945075.0,276.5874643815471,858.8204239435636,-755.37109375,-513.232421875,18.408203125,889.5507812499999,1972.314453125
CP4,945075.0,492.6576607883303,842.3230417514064,-591.162109375,-327.58789062499994,297.021484375,1104.150390625,2160.693359375
TP8,945075.0,-20087.260650454744,1577.1199319951195,-21917.431640625,-21460.7421875,-20579.8828125,-18936.279296875,-16413.57421875
C6,945075.0,-2350.9334979098053,2002.0559158500212,-5032.373046875,-4256.787109375,-2749.365234375,-782.51953125,1887.4999999999998
C2,945075.0,3916.5384633825356,348.8327619862789,3428.271484375,3671.1914062499995,3782.32421875,4077.1972656249995,4758.49609375
FC4,945075.0,-3275.7744482911407,1287.7686099513357,-4932.32421875,-4545.01953125,-3594.6777343749995,-2278.955078125,-395.458984375
FT8,945075.0,2702.710970514493,1890.5059332587027,259.71679687499994,895.947265625,2300.87890625,3778.61328125,6618.066406249999
F6,945075.0,-7097.431766379735,1587.4701601870809,-9340.185546875,-8633.056640625,-7437.451171875,-5750.78125,-3813.28125
F2,945075.0,-12996.726190712378,166.6627762818397,-13295.019531249998,-13109.326171875,-13035.205078124998,-12957.373046875,-12444.482421875
AF4,945075.0,-27325.24414889154,1774.9148913076071,-30218.75,-29022.998046874996,-27376.123046875,-25873.2177734375,-23858.447265625
AF8,945075.0,-7141.879384210992,1463.6058266941475,-9045.99609375,-8496.77734375,-7566.796874999999,-6136.8408203125,-3456.6406249999995
VEOG,945075.0,-712665.3330311086,36554.43140049735,-1314688.6249999998,-731317.6874999999,-706302.8124999999,-686357.46875,-536700.5
X,945075.0,-459555.054601862,301105.0158503149,-2197374.75,-793937.1249999999,-314399.90625,-247795.7265625,1559906.625
Y,945075.0,-1189904.5231858399,173333.56079765575,-3318118.25,-1297916.125,-1246233.0,-1126084.7499999998,1397414.5
Z,945075.0,-557178.2310249681,295638.61274407,-2300261.0,-727126.1562499999,-623596.625,-373064.421875,1328381.2499999998
