,count,mean,std,min,25%,50%,75%,max
time,1379725.0,1379724.0,796584.8888327387,0.0,689862.0,1379724.0,2069586.0,2759448.0
Fp1,1379725.0,-10519.121841818569,2051.738682964908,-13197.75390625,-12702.63671875,-10885.986328125,-8330.273437499998,-7466.210937499999
Fz,1379725.0,-5691.937959995991,1361.2116698861598,-7949.609375,-6928.466796874999,-5741.796875,-4511.621093749999,-3148.2421875
F3,1379725.0,2701.6702523091103,252.87006865497432,2257.8613281249995,2444.1406249999995,2732.3730468749995,2910.546875,3281.73828125
F7,1379725.0,-10072.63709051934,1077.1323211378694,-11880.810546874998,-11283.007812499998,-9888.183593749998,-9038.623046875,-7750.87890625
FT9,1379725.0,-417484.58931890863,391.3436665516033,-419189.68749999994,-417648.1875,-417420.3125,-417244.90625,-416334.84374999994
FC5,1379725.0,-8477.385871731685,105.98876804310898,-8716.50390625,-8556.4453125,-8502.197265624998,-8406.933593749998,-8182.812499999999
FC1,1379725.0,383.4411689617157,194.09168752379904,-64.208984375,238.91601562499997,440.52734375,549.658203125,702.5390624999999
C3,1379725.0,1823.1468520037395,206.22942667269933,1378.7597656249998,1668.06640625,1852.490234375,2035.009765625,2160.44921875
T7,1379725.0,2849.2474832224266,527.1232048095501,1844.5312499999998,2374.3652343749995,2952.24609375,3317.6269531249995,3746.435546875
TP9,1379725.0,-415598.5528274883,390.92227911771175,-417301.84374999994,-415761.90625,-415534.5,-415359.28125,-414448.875
CP5,1379725.0,770.9614135275485,450.2225390905393,-77.73437499999999,397.314453125,821.533203125,1112.353515625,1689.55078125
CP1,1379725.0,786.4881599693214,755.3606219004071,-652.9296875,122.75390625,921.1914062499999,1525.830078125,1850.2929687499998
Pz,1379725.0,-4476.515693089882,431.13752769030214,-5003.759765625,-4830.517578125,-4734.619140625,-3998.2910156249995,-3673.7792968749995
P3,1379725.0,2272.481953456248,288.82374377668316,1682.861328125,2030.76171875,2299.31640625,2477.783203125,2873.14453125
P7,1379725.0,2001.7526314049787,747.8395861853745,792.3828125,1377.5390624999998,1989.208984375,2615.1367187499995,3440.52734375
O1,1379725.0,300.6781536727767,815.8092861664038,-1142.28515625,-393.84765625,630.908203125,1083.447265625,1419.43359375
Oz,1379725.0,-5122.021629189863,646.8330080156134,-5985.107421875,-5644.677734375,-5463.623046874999,-4404.052734374999,-3766.943359375
O2,1379725.0,3547.36704505625,291.5829565208169,2263.18359375,3547.0703124999995,3624.51171875,3722.119140625,3965.2343749999995
P4,1379725.0,-284.64842546748446,143.12177898885747,-491.84570312499994,-360.69335937499994,-332.71484375,-274.267578125,315.576171875
P8,1379725.0,-9144.472433825411,995.8524438680346,-10386.669921875,-10130.95703125,-9254.8828125,-8264.35546875,-6882.568359375
TP10,1379725.0,-415434.46526508906,391.15254022903224,-417137.5,-415598.28125,-415369.96875,-415194.87499999994,-414285.25
CP6,1379725.0,2846.6958495040903,194.5613121873307,2504.150390625,2688.57421875,2850.78125,2951.123046875,3390.234375
CP2,1379725.0,-4863.928948632766,811.1654177210647,-6019.140625,-5588.134765625,-5101.904296874999,-4152.587890625,-3388.0859375
Cz,1379725.0,3797.9045213168047,432.79018392280585,2865.380859375,3437.890625,3949.9023437499995,4191.50390625,4331.201171875
C4,1379725.0,1971.7094473791199,203.37106007693902,1586.81640625,1798.53515625,2015.478515625,2118.994140625,2447.998046875
T8,1379725.0,-415423.40451231226,391.0159907457781,-417126.75,-415586.9375,-415359.31249999994,-415184.03125,-414274.0625
FT10,1379725.0,-416825.445583427,390.97325755472457,-418529.03124999994,-416989.0,-416761.375,-416586.06249999994,-415676.0
FC6,1379725.0,-4187.563501671529,817.4376723165266,-5528.857421875,-4817.578124999999,-4198.632812499999,-3490.4296875,-2400.0
FC2,1379725.0,6185.853880139442,1575.0556185802034,3370.8984375,4906.4453125,6129.6875,7747.16796875,8640.722656249998
F4,1379725.0,-12527.034637507022,526.4778504763032,-13479.98046875,-12831.4453125,-12589.208984375,-12054.296874999998,-11334.130859375
F8,1379725.0,-7316.541262185399,1577.837885879911,-10239.2578125,-8674.853515624998,-7429.394531249999,-6010.986328125,-4228.90625
Fp2,1379725.0,-6101.715955908333,409.5568297552883,-7154.541015625,-6405.126953125,-6070.458984375,-5764.013671874999,-4741.650390624999
AF7,1379725.0,-21806.840868531035,970.2271654988002,-23644.921875,-22431.884765625,-21753.80859375,-21009.5703125,-19855.029296875
AF3,1379725.0,-23428.167138718767,1062.442047154249,-25722.314453125,-24271.044921875,-23164.892578125,-22501.26953125,-21414.599609374996
AFz,1379725.0,-2938.0673419904215,704.1034244923113,-4102.83203125,-3546.826171875,-3005.615234375,-2365.576171875,-1525.1953124999998
F1,1379725.0,-26602.605851454773,588.6639684172884,-28282.470703125,-26965.8203125,-26660.498046874996,-25973.388671875,-25686.523437499996
F5,1379725.0,-22910.887226805273,505.5219328370206,-23907.666015625,-23325.68359375,-22851.806640625,-22479.882812499996,-21569.82421875
FT7,1379725.0,-8529.203521294437,160.75699925719852,-8981.73828125,-8640.91796875,-8532.32421875,-8422.314453125,-8083.056640624999
FC3,1379725.0,-11050.828552720537,868.8548596808142,-12628.369140625,-11866.50390625,-10915.673828125,-10363.769531249998,-9698.681640625
FCz,1379725.0,3222.8907722921463,494.46875513961464,2131.8359375,2833.203125,3395.263671875,3634.8632812499995,3917.2851562499995
C1,1379725.0,-8495.822487695692,1123.6610304327176,-10379.6875,-9422.900390624998,-8660.693359374998,-7364.0625,-6551.708984375
C5,1379725.0,3003.5234344918713,353.8829402503448,2085.107421875,2694.7265625,3182.03125,3269.140625,3579.4921875
TP7,1379725.0,-3261.8911014522255,941.9552233456174,-5433.447265624999,-3917.431640625,-2919.677734375,-2481.8359375,-2076.07421875
CP3,1379725.0,6792.689240220255,268.0403828564452,6200.341796875,6569.384765624999,6850.341796874999,7022.705078124999,7185.7421875
P1,1379725.0,-3972.61976171514,571.9506820109634,-5027.24609375,-4534.375,-3841.2109375,-3428.02734375,-3114.6484375
P5,1379725.0,-3361.720065330897,867.6858603209175,-4888.4765625,-4103.369140624999,-3286.279296875,-2610.64453125,-1914.2089843749998
PO7,1379725.0,-5205.995963161817,1970.3835487072345,-8783.593749999998,-6922.216796874999,-4958.642578124999,-3359.9609375,-2246.1425781249995
PO3,1379725.0,-3839.4134042860105,662.0741281325137,-5072.94921875,-4392.96875,-3718.4082031249995,-3212.744140625,-2925.1953125
POz,1379725.0,-5375.52972859458,538.180722089047,-6114.501953125,-5788.134765624999,-5611.23046875,-4755.810546875,-4493.310546875
PO4,1379725.0,-2602.639816096448,514.2141396562823,-3643.6035156249995,-2917.48046875,-2469.384765625,-2236.328125,-1495.01953125
PO8,1379725.0,7759.222019659149,564.5648411586035,6375.146484375,7360.498046875,7943.115234374999,8220.458984375,8640.283203125
P6,1379725.0,527.6807211284744,330.6427347475173,30.712890625,229.345703125,429.931640625,850.634765625,1313.037109375
P2,1379725.0,2831.538380645656,83.9242263182645,2587.2070312499995,2764.0136718749995,2859.5703125,2893.408203125,2990.771484375
CP4,1379725.0,-4413.056895431211,544.0896890722313,-5118.84765625,-4919.531249999999,-4490.673828125,-3967.1386718749995,-3083.8867187499995
TP8,1379725.0,1105.9460449616884,1400.0355584785816,-1271.77734375,73.77929687499999,1125.68359375,2075.390625,3952.1484374999995
C6,1379725.0,669.4621806711936,567.9190872467284,-217.48046874999997,187.69531249999997,592.7734375,1091.40625,1923.9746093749998
C2,1379725.0,20367.006340109387,583.700889336693,17975.634765624996,20202.099609375,20558.3984375,20712.109375,20964.453124999996
FC4,1379725.0,1388.0052252260414,274.00668775778615,857.51953125,1176.904296875,1364.6484375,1639.4531249999998,1957.958984375
FT8,1379725.0,-4322.189401951419,912.924254886066,-5841.552734375,-5061.328124999999,-4512.890625,-3536.5234375,-2280.46875
F6,1379725.0,-18707.46785690423,600.8297592255145,-20179.58984375,-19072.070312499996,-18623.4375,-18321.826171875,-17322.216796874996
F2,1379725.0,-2563.0154169436505,490.2262247592736,-3532.5195312499995,-2952.4902343749995,-2491.796875,-2095.4101562499995,-1629.052734375
AF4,1379725.0,-20083.824354965152,768.3416605416289,-21427.587890625,-20647.4609375,-20038.623046875,-19465.576171875,-18465.0390625
AF8,1379725.0,-9222.296103680364,441.19607092554577,-9958.935546874998,-9596.826171875,-9294.3359375,-8972.265625,-7441.406249999999
VEOG,1379725.0,1313505.0220510429,206451.53533627468,961894.375,1147318.75,1252862.5,1430663.75,1922208.1249999998
X,1379725.0,-564509.2393519907,169150.00903289992,-1813854.25,-614598.125,-590954.125,-543515.6875,1703280.5
Y,1379725.0,-1075175.518567699,208174.41283920195,-2291175.5,-1159778.0,-1127646.25,-1038936.0624999999,1672639.0
Z,1379725.0,-813333.3361650154,171855.7975555338,-2329435.25,-938686.7499999999,-786702.625,-680571.8125,689667.1875
