,count,mean,std,min,25%,50%,75%,max
time,892300.0,892299.0,515169.9338729568,0.0,446149.5,892299.0,1338448.5,1784598.0
Fp1,892300.0,-14664.635765991416,198.45397108571288,-15152.685546875,-14808.349609374998,-14693.505859374998,-14557.324218749998,-13700.048828124998
Fz,892300.0,-3427.7628385190483,361.1717292658055,-4001.07421875,-3765.625,-3525.6835937499995,-3034.1796874999995,-2758.7890624999995
F3,892300.0,-1547.0582442975667,240.40314609607796,-1909.716796875,-1760.44921875,-1603.564453125,-1365.966796875,-843.896484375
F7,892300.0,-20564.54116430371,568.0368443072864,-21530.322265625,-21086.81640625,-20600.09765625,-20050.9765625,-19280.810546875
FT9,892300.0,-10941.91931057949,364.3332647824017,-11911.083984375,-11186.9140625,-10768.359375,-10661.376953125,-10436.962890625
FC5,892300.0,-5479.438363069806,245.41604144629147,-5854.19921875,-5692.919921874999,-5541.9921875,-5241.259765625,-4834.667968749999
FC1,892300.0,1667.2144842835055,440.89162147830723,1106.201171875,1270.60546875,1521.1914062499998,2060.107421875,2715.52734375
C3,892300.0,2109.6747620593374,436.8796231885205,1466.455078125,1700.341796875,2024.8046875,2544.921875,2970.849609375
T7,892300.0,-16251.756941714442,894.8942469889514,-17367.919921875,-17098.339843749996,-16531.054687499996,-15383.349609375,-14346.777343749998
TP9,892300.0,-1813.908086294285,417.6954485405175,-2452.294921875,-2132.568359375,-1888.671875,-1573.095703125,-642.138671875
CP5,892300.0,-8039.35071059341,406.8512204698683,-8702.783203125,-8355.908203125,-8138.4765625,-7654.931640624999,-7158.886718749999
CP1,892300.0,15819.244960136375,747.7520997466964,14151.46484375,15086.718749999998,16227.490234375,16439.990234375,16577.490234375
Pz,892300.0,-12650.555257480668,777.1282786165843,-14003.3203125,-13407.421874999998,-12664.0625,-11942.28515625,-11326.806640625
P3,892300.0,-9952.381849125417,347.5460897680965,-10444.287109375,-10282.03125,-10074.218749999998,-9596.09375,-9031.787109375
P7,892300.0,-2875.322657048936,212.7675959480077,-3167.96875,-3007.71484375,-2959.66796875,-2807.421875,-2061.23046875
O1,892300.0,749.4597660737174,255.0890218800465,363.916015625,533.0078125,678.759765625,976.1230468749999,1446.142578125
Oz,892300.0,-13168.822931204384,465.9550026963097,-13827.246093749998,-13602.294921875,-13305.224609375,-12660.3515625,-12117.96875
O2,892300.0,-593.7405543871876,457.2188995523515,-1167.9199218749998,-999.5117187499999,-805.224609375,-177.63671874999997,573.4863281249999
P4,892300.0,-21318.66007608279,813.1227665772719,-22571.77734375,-22107.91015625,-21532.470703125,-20505.749511718746,-19746.19140625
P8,892300.0,-2453.798442939332,204.72572074175656,-2817.1875,-2609.326171875,-2535.595703125,-2296.875,-1779.2968749999998
TP10,892300.0,-16417.288863641537,785.2288679568882,-17398.73046875,-17087.353515625,-16720.556640625,-15826.611328125,-14373.681640624998
CP6,892300.0,-15437.899160154062,603.9669239752167,-16232.2265625,-15973.33984375,-15752.734375,-14830.664062499998,-14183.154296875
CP2,892300.0,-9773.436662266316,109.03130876792395,-10015.478515624998,-9857.91015625,-9785.83984375,-9698.339843749998,-9455.810546875
Cz,892300.0,-17458.9894825543,677.9246435258104,-18443.798828125,-18089.208984375,-17617.3828125,-16817.3828125,-16164.404296875
C4,892300.0,-6105.365900939374,523.5963690232222,-6815.771484374999,-6601.46484375,-6202.880859375,-5634.9609375,-4915.039062499999
T8,892300.0,-17179.54484039447,345.5565175318604,-17621.875,-17410.839843749996,-17284.423828125,-17048.33984375,-15821.142578125
FT10,892300.0,-14489.175008908684,536.389517480817,-15772.36328125,-14951.855468749998,-14479.052734375,-14015.869140625,-13366.11328125
FC6,892300.0,-25492.116860373997,1421.355749945737,-27587.304687499996,-26841.845703125,-25626.904296875,-24158.935546875,-22722.16796875
FC2,892300.0,-18450.544030349938,843.9558528036082,-19824.4140625,-19193.212890625,-18483.88671875,-17685.888671875,-16775.244140625
F4,892300.0,-25421.000734419216,1139.1401410589133,-27438.8671875,-26313.293457031246,-25605.517578125,-24431.8359375,-23048.2421875
F8,892300.0,-14675.121189895932,327.3923940286121,-15232.568359374998,-14981.103515625,-14738.57421875,-14431.38427734375,-13673.974609374998
Fp2,892300.0,-15036.89594356097,824.7661443284535,-16283.789062499998,-15833.007812500002,-15233.0078125,-14330.6640625,-12747.705078125
AF7,892300.0,-2624.8024486732847,255.79219023092872,-3129.78515625,-2840.380859375,-2688.76953125,-2439.3066406249995,-1533.8378906249998
AF3,892300.0,-23162.937160889956,1267.0047849182004,-25144.82421875,-24387.890625,-23302.392578124996,-21974.169921875,-20649.90234375
AFz,892300.0,-19193.2018971557,665.2526010198727,-20306.445312499996,-19794.140624999996,-19316.748046875,-18569.482421875,-17539.990234375
F1,892300.0,-1604.8634348536611,339.3665537900592,-2258.740234375,-1889.990234375,-1716.9433593749998,-1324.169921875,-569.23828125
F5,892300.0,-12115.901369978305,104.7641331179246,-12394.775390625,-12201.562499999998,-12115.332031249998,-12041.9921875,-11636.962890625
FT7,892300.0,-19820.784453131568,667.4519500121479,-21206.396484374996,-20219.04296875,-19937.5,-19281.396484374996,-18494.970703125
FC3,892300.0,3241.267348731859,298.11562034827494,2793.75,2949.31640625,3190.4296875,3542.9687499999995,3880.37109375
FCz,892300.0,-13814.370046158803,176.0143369290136,-14119.140625,-13962.3046875,-13832.91015625,-13698.779296875,-13344.238281249998
C1,892300.0,6911.869910011347,366.46383361530184,6404.638671875,6531.591796875,6869.287109374999,7293.798828125,7537.646484375
C5,892300.0,854.486308479929,312.0898380648795,422.75390625,591.40625,752.978515625,1122.216796875,1623.681640625
TP7,892300.0,-27633.620414380763,1282.6375928761008,-29374.853515624996,-28878.61328125,-27873.974609374996,-26474.609375,-25023.828124999996
CP3,892300.0,-1751.8067456358392,243.44209347897018,-2067.578125,-1983.2031249999998,-1848.828125,-1499.5117187499998,-1216.455078125
P1,892300.0,-82.20914864938221,185.79064691389746,-332.958984375,-249.70703124999997,-112.646484375,67.1875,463.96484374999994
P5,892300.0,-12792.803044537291,1092.1959932337336,-14793.75,-13796.97265625,-12747.998046874998,-11663.18359375,-11011.425781249998
PO7,892300.0,-803.6166960996162,162.61327809831184,-1122.7050781249998,-972.705078125,-812.8417968749999,-678.125,-350.390625
PO3,892300.0,1410.5822264421124,554.0196632938498,598.486328125,915.869140625,1299.365234375,1933.984375,2528.955078125
POz,892300.0,-2816.5000913851495,313.9769986382414,-3208.447265625,-3094.1406249999995,-2937.2558593749995,-2512.744140625,-2015.5273437499998
PO4,892300.0,615.5577348937612,521.4496741211655,-0.39062499999999994,140.234375,417.23632812499994,1050.6835937499998,1922.16796875
PO8,892300.0,-4817.247032280956,462.67925575025293,-5426.025390624999,-5239.208984374999,-5000.146484375,-4407.51953125,-3677.587890625
