,count,mean,std,min,25%,50%,75%,max
time,1295400.0,1295399.0,747899.8273833201,0.0,647699.5,1295399.0,1943098.5,2590798.0
Fp1,1295400.0,1462.0563573540267,1885.2504159024604,-9226.66015625,272.0703125,416.50390625,2427.490234375,153665.328125
Fz,1295400.0,81.80879797172929,2953.1009035743073,-9292.041015625,-2242.2485351562495,579.8828125,1711.3769531249998,155631.984375
F3,1295400.0,4114.549379351334,1600.6534209836748,-7311.767578124999,3529.5898437499995,3637.353515625,4620.5078125,157523.4375
F7,1295400.0,-9698.549219987854,2015.4156044890685,-20295.751953125,-10905.18798828125,-10298.095703125,-8546.97265625,144556.984375
FT9,1295400.0,-13226.52295649359,1793.5562860779655,-25683.837890625,-13192.138671875,-12816.430664062498,-12469.628906249998,139247.609375
FC5,1295400.0,534.5790817281945,1618.7858621735772,-10657.177734375,-410.595703125,-226.46484375,1006.7504882812499,154273.23437499997
FC1,1295400.0,3146.5135910225003,1651.476247271605,-7958.740234374999,2181.34765625,2500.1953125,3606.73828125,157058.54687499997
C3,1295400.0,-80.13533860197623,1585.5840132117353,-11373.486328125,-773.6328125,-642.041015625,375.048828125,153645.65624999997
T7,1295400.0,-3212.412649526992,1716.1878158114384,-14098.925781249998,-4235.64453125,-4124.218749999999,-2830.224609375,150851.609375
TP9,1295400.0,1161.2305468041363,1652.5290974530556,-9945.99609375,277.978515625,396.435546875,1691.6503906249998,155013.46875
CP5,1295400.0,-4902.915477816035,1683.367221933658,-15712.255859375,-6112.304687499999,-5485.107421875,-4613.623046874999,149290.578125
CP1,1295400.0,13027.329948191074,1915.4357694538623,597.705078125,13429.150390625,13536.03515625,13806.8359375,165775.484375
Pz,1295400.0,697.8835943757117,1579.7864415468168,-10683.056640624998,-93.06640625,105.078125,1028.96728515625,154254.296875
P3,1295400.0,2056.6288500098303,1598.2437880963037,-9365.283203125,1445.068359375,1553.22265625,2436.572265625,155714.109375
P7,1295400.0,-377.1545270735632,1743.5150108200712,-11240.478515625,-1489.697265625,-1259.423828125,164.990234375,153753.21875
O1,1295400.0,2935.4255244021515,1668.1712216543106,-8117.529296875,1782.2753906249998,2201.7578125,3344.287109375,156930.171875
Oz,1295400.0,-4178.925051923513,1634.145690620012,-15980.6640625,-4485.3515625,-4309.423828125,-3730.6640625,149079.78125
