,count,mean,std,min,25%,50%,75%,max
time,881000.0,880999.0,508645.87583111296,0.0,440499.5,880999.0,1321498.5,1761998.0
Fp1,881000.0,-24123.963642057144,318.1071052610205,-24665.039062499996,-24385.302734375,-24196.77734375,-23900.830078124996,-22989.990234375
Fz,881000.0,-3726.506049699383,780.3829503615589,-5008.886718749999,-4475.0,-3755.419921875,-2983.0566406249995,-2338.525390625
F3,881000.0,-32971.81930018046,445.8491296395565,-33730.46875,-33356.19921875,-33099.12109374999,-32620.60546875,-31660.205078124996
F7,881000.0,-33626.85630840974,229.2199667399028,-34180.02734374999,-33810.49609374999,-33657.859375,-33483.15234374999,-32720.263671875
FT9,881000.0,-17864.48076049943,438.12057296808604,-18842.626953125,-18248.974609375,-17802.685546875,-17424.658203125,-16767.3828125
FC5,881000.0,-17400.499946350028,990.1593485023675,-19218.45703125,-18351.708984375,-17368.505859374996,-16514.09912109375,-15314.94140625
FC1,881000.0,-8994.636236509914,635.1590924365879,-10078.662109374998,-9516.845703125,-9110.546875,-8415.087890624998,-7729.003906249999
C3,881000.0,-6829.111907245407,632.8552677061218,-7954.1015625,-7436.181640624999,-6781.201171875,-6313.96484375,-5739.599609375
T7,881000.0,-285.573019606626,959.9704003272642,-2540.91796875,-1069.2871093749998,-38.4765625,575.09765625,1168.5546875
TP9,881000.0,-1298.3992075544481,305.2992537798839,-2011.181640625,-1583.984375,-1310.3515624999998,-1015.52734375,-449.16992187499994
CP5,881000.0,1419.3348858386244,372.4264315843743,669.580078125,1078.90625,1412.01171875,1780.078125,2311.962890625
CP1,881000.0,-6315.259024612479,287.80001875600857,-7032.2265625,-6542.08984375,-6217.08984375,-6090.478515625,-5899.121093749999
Pz,881000.0,-773.8403128547105,102.86909419039142,-969.7265625,-861.767578125,-777.783203125,-685.107421875,-596.1425781249999
P3,881000.0,4515.666812005622,439.4786541822684,3602.3437499999995,4143.212890624999,4546.044921875,4913.76953125,5336.81640625
P7,881000.0,-8125.38806548622,638.8394358065191,-9365.722656249998,-8665.917968749998,-8035.351562499999,-7527.1484375,-6965.576171875
O1,881000.0,-6948.556423364785,330.30540346113423,-7858.447265625001,-7108.349609375,-6773.828125,-6725.341796874999,-6454.736328124999
Oz,881000.0,-4834.953794128211,404.0276488635765,-5457.91015625,-5234.08203125,-4860.9375,-4375.048828124999,-4084.7656249999995
O2,881000.0,2238.2459068618755,223.1763022880527,1749.658203125,2052.44140625,2186.9628906249995,2455.95703125,2866.6015625
P4,881000.0,-4788.547286685939,838.9195558583194,-6058.203125,-5591.552734375,-4891.89453125,-4032.03125,-3281.93359375
P8,881000.0,-220.74875552018304,67.8163905587208,-499.90234375,-273.095703125,-230.95703125,-183.05664062499997,91.943359375
TP10,881000.0,-18078.20308415286,4091.4621469619683,-25042.7734375,-23124.8779296875,-16828.4423828125,-14639.111328125,-11593.1640625
CP6,881000.0,-166.7663319824773,210.5159959388539,-694.23828125,-357.22656249999994,-183.935546875,41.01562499999999,353.22265624999994
CP2,881000.0,2060.664190583765,144.75473121697155,1715.4785156249998,1971.875,2069.775390625,2198.4863281249995,2256.5429687499995
