,count,mean,std,min,25%,50%,75%,max
time,1269100.0,1269099.0,732715.5153036318,0.0,634549.5,1269099.0,1903648.5,2538198.0
Fp1,1269100.0,-4188.10268284211,160.03579284678736,-4627.001953124999,-4253.466796875,-4147.55859375,-4072.55859375,-3725.0
Fz,1269100.0,2996.649426720646,363.2519931612147,2043.5058593749998,2783.59375,3156.2988281249995,3256.982421875,3389.111328125
F3,1269100.0,-7989.151615694993,490.90534839180776,-8820.263671875,-8518.45703125,-7849.414062499999,-7609.423828125,-7100.048828124999
F7,1269100.0,-18626.13332190381,1259.933884022801,-20633.30078125,-19593.603515625,-18612.98828125,-18276.123046875,-15418.1640625
FT9,1269100.0,-430.2921313501571,130.20238361155367,-879.8828124999999,-507.958984375,-429.150390625,-318.994140625,-116.89453125
FC5,1269100.0,-1243.048208222116,90.94234672866024,-1611.7187499999998,-1280.2734375,-1231.6406249999998,-1172.509765625,-1073.1933593749998
FC1,1269100.0,-3053.9449191740823,248.45188925237883,-3772.509765625,-3164.31884765625,-2952.24609375,-2887.0117187499995,-2772.265625
C3,1269100.0,-410.76534967570524,56.8548049243976,-582.2265625,-454.052734375,-408.39843749999994,-375.43945312499994,-192.822265625
T7,1269100.0,-4222.682250486011,203.24701297281453,-4663.18359375,-4388.57421875,-4261.81640625,-4081.8359375,-3670.166015625
TP9,1269100.0,1229.996314978996,239.6713388232132,714.4042968749999,968.1640625,1284.5703125,1438.3789062499998,1664.794921875
CP5,1269100.0,1310.2704092020797,229.18613706272856,897.265625,1087.646484375,1304.150390625,1493.896484375,1767.1874999999998
CP1,1269100.0,-3054.667921272334,513.3076404301025,-4025.0976562499995,-3595.6542968749995,-2869.23828125,-2637.744140625,-2327.24609375
Pz,1269100.0,-5645.1153155564225,206.12298492271452,-6209.27734375,-5798.974609374999,-5632.470703125,-5506.787109374999,-5230.419921875
P3,1269100.0,-1496.8506496129762,439.1686988729821,-2222.5097656249995,-1912.3046875,-1490.52734375,-1051.220703125,-866.0156249999999
P7,1269100.0,-3496.9024834897764,371.2514752503997,-4146.826171875,-3826.33056640625,-3454.833984375,-3154.5898437499995,-2844.7265625
O1,1269100.0,-4287.952902270495,220.18840347002154,-4670.703125,-4438.63525390625,-4352.24609375,-4087.3535156249995,-3795.361328125
Oz,1269100.0,-6725.926972116066,157.99598678762112,-7160.498046875,-6786.81640625,-6660.05859375,-6613.8671875,-6435.742187499999
O2,1269100.0,-7450.318798831972,385.0689444498067,-8235.64453125,-7805.92041015625,-7353.662109375,-7104.443359375,-6895.654296875
P4,1269100.0,-5735.747810063788,1256.6018464128504,-9966.796875,-5867.724609375,-5464.599609375,-5012.6953125,-4559.667968749999
P8,1269100.0,3029.137479008254,229.4780464774394,2373.7792968749995,2842.08984375,3058.251953125,3207.6171874999995,3551.3183593749995
