,count,mean,std,min,25%,50%,75%,max
time,1116000.0,1115999.0,644323.1890906923,0.0,557999.5,1115999.0,1673998.5,2231998.0
Fp1,1116000.0,2373.453582479279,365.57441362263603,522.8515625,2154.541015625,2365.185546875,2558.447265625,3793.896484375
Fz,1116000.0,-17548.33562781768,1402.4019579392852,-19011.9140625,-18493.994140624996,-17895.458984374996,-17551.123046875,-12728.22265625
F3,1116000.0,-1105.5445441133234,719.56220639978,-2018.798828125,-1456.396484375,-1281.7871093749998,-1156.34765625,2410.9863281249995
F7,1116000.0,-12535.167684925585,809.65708904167,-15834.472656250002,-12669.62890625,-12350.830078125,-11999.853515624998,-11735.644531249998
FT9,1116000.0,-16838.895360234306,470.5014726283673,-20076.953124999996,-16829.345703125,-16716.259765624996,-16633.691406249996,-16293.896484375
FC5,1116000.0,-13942.097963875938,539.7849233726048,-15168.798828125,-14195.99609375,-14033.203125,-13710.449218749998,-11767.529296874998
FC1,1116000.0,2519.1731168357273,635.3143609775034,1815.7714843749998,2233.3007812499995,2366.11328125,2537.109375,5170.556640625
C3,1116000.0,-13932.473011697748,1182.3868764753188,-14808.935546874998,-14510.009765625,-14337.59765625,-14016.894531249998,-9463.818359374998
T7,1116000.0,5763.653332607037,536.9284018321331,4859.765625,5255.615234374999,5699.70703125,5963.427734374999,7317.919921875
TP9,1116000.0,5824.112148883779,606.0819777116973,4807.6171875,5316.796875,5727.294921875,5987.353515625,7723.33984375
CP5,1116000.0,-20071.175275730147,1582.4872330422575,-21762.79296875,-21250.78125,-20516.015625,-19247.216796874996,-13333.88671875
CP1,1116000.0,18281.868800053202,341.056193131448,17566.30859375,17976.85546875,18282.666015625,18512.79296875,18962.158203125
Pz,1116000.0,7228.296586844058,717.0980698322364,6010.9375,7034.179687499999,7184.960937499999,7356.445312499999,11778.515625
P3,1116000.0,-5284.5581805923075,1989.6793974077616,-6973.144531249999,-6655.322265624999,-5810.791015625,-5216.69921875,3187.20703125
P7,1116000.0,-15927.67699171497,3559.4482655334305,-24507.958984374996,-18734.43603515625,-13847.55859375,-13200.732421875,-11897.36328125
O1,1116000.0,-6097.777926318535,1613.4445087605998,-8271.875,-6683.30078125,-6311.376953125,-6110.205078125,2913.8183593749995
Oz,1116000.0,-10404.176949712282,1642.2546533107186,-12350.390624999998,-11377.83203125,-11029.6875,-9985.44921875,-330.17578125
O2,1116000.0,-11366.667768405929,1859.3308555130523,-14849.4140625,-12687.255859375,-11090.771484375,-10169.580078124998,537.01171875
P4,1116000.0,-12414.147516591062,2446.780267406055,-14313.671875,-13677.9296875,-12846.337890625,-12478.02734375,-114.208984375
P8,1116000.0,3702.5938006657425,359.57452605882827,3116.015625,3341.4062499999995,3694.140625,3843.896484375,5334.716796875
TP10,1116000.0,-206616.50002972392,54175.12212079513,-413089.96875,-249621.61328125,-217410.765625,-155550.484375,-36762.25390625
CP6,1116000.0,-16403.445749852992,1646.2054656894031,-18009.5703125,-17253.564453125,-16695.1171875,-16556.103515625,-10244.921875
CP2,1116000.0,5935.162295674423,864.0376317051017,4537.40234375,5069.775390625,5893.359375,6609.912109374999,7673.681640625
Cz,1116000.0,9123.419567302308,519.9282043910814,8191.552734375,8643.9453125,9084.86328125,9491.796875,10134.619140624998
C4,1116000.0,-10474.852476627255,1091.8797333993507,-11638.232421875,-11227.490234375,-10687.548828124998,-10322.021484375,-6820.068359375
T8,1116000.0,6461.688665487091,218.20387230014762,5591.748046875,6300.48828125,6471.337890625,6567.871093749999,7262.744140624999
FT10,1116000.0,-17567.737671992258,1399.0798011582658,-23146.826171875,-17411.682128906246,-17078.3203125,-16879.150390625,-16434.47265625
FC6,1116000.0,-12528.465774328308,661.6399893923864,-13992.431640624998,-12722.900390625,-12408.10546875,-12317.96875,-10106.005859375
FC2,1116000.0,-11503.371413757981,776.013910802212,-13102.197265624998,-11762.59765625,-11544.04296875,-11218.65234375,-8186.9140625
F4,1116000.0,-18486.37300986013,939.3304883275504,-19890.820312499996,-19158.30078125,-18577.099609374996,-18350.634765625,-15476.513671875
F8,1116000.0,-15396.92844032643,393.6243714700477,-17220.849609375,-15622.216796875,-15531.103515624998,-15186.474609374998,-13039.35546875
Fp2,1116000.0,-15076.579004125015,1558.9589601767843,-21391.455078125,-15217.3828125,-14732.226562499998,-14339.6484375,-4927.44140625
AF7,1116000.0,406.7456407772597,574.1644710195201,-1400.9765624999998,-119.287109375,527.63671875,761.6699218749999,2045.947265625
AF3,1116000.0,-12255.385691127982,905.661161535254,-15523.14453125,-12531.884765625,-12244.62890625,-11574.804687499998,-10920.068359375
AFz,1116000.0,-12838.826508027763,944.2517322869401,-16099.121093749998,-13213.720703125,-12865.527343749998,-12104.833984374998,-11370.263671875
F1,1116000.0,-2528.1485429004956,640.5175945658043,-3488.0859374999995,-2772.5585937499995,-2696.435546875,-2619.2382812499995,693.5546875
F5,1116000.0,-12186.319838525917,908.9398640829901,-15919.384765625,-12078.3203125,-11956.396484375,-11693.945312499998,-11321.435546875
FT7,1116000.0,-15873.178798793122,757.2363367559691,-17285.986328125,-16541.748046875,-15985.693359375,-15214.83154296875,-14227.197265625
FC3,1116000.0,-2716.0818347124214,917.6088035256146,-4132.32421875,-3004.2480468749995,-2821.58203125,-2651.85546875,880.2734375
FCz,1116000.0,-11708.601265724756,1609.7926090524586,-12644.775390625,-12436.62109375,-12228.320312499998,-11994.482421875,-2415.966796875
