,count,mean,std,min,25%,50%,75%,max
time,1040800.0,1040799.0,600906.4488476277,0.0,520399.5,1040799.0,1561198.5,2081598.0
Fp1,1040800.0,-17728.924864690547,1469.9903653444856,-20142.480468749996,-18993.505859375,-17865.673828124996,-16375.878906249998,-15004.736328124998
Fz,1040800.0,164.20415344941992,257.1007771993427,-333.154296875,-58.49609374999999,209.37499999999997,436.23046875,600.390625
F3,1040800.0,-2127.8145362097516,355.2338741087236,-2816.455078125,-2434.716796875,-2056.8847656249995,-1799.2187499999998,-1554.345703125
F7,1040800.0,-11953.0655991879,741.9076529579227,-13233.69140625,-12568.896484375,-12011.328125,-11215.673828125,-10665.185546874998
FT9,1040800.0,-3020.4556470514717,481.26320200141566,-3584.716796875,-3372.412109375,-3235.64453125,-2767.138671875,-1710.83984375
FC5,1040800.0,1799.942148758392,311.3162530516345,1063.134765625,1601.611328125,1828.466796875,2029.931640625,2349.462890625
FC1,1040800.0,-1243.3750213458848,210.1116440024731,-1619.189453125,-1433.88671875,-1207.0800781249998,-1050.7812499999998,-909.1796874999999
C3,1040800.0,-2353.409275110642,106.20745394732091,-2681.54296875,-2430.615234375,-2316.015625,-2263.6230468749995,-2187.98828125
T7,1040800.0,-21387.033386511954,411.11528143063543,-21973.486328125,-21626.5625,-21490.283203125,-21283.7890625,-19936.962890625
TP9,1040800.0,-4543.857195655535,671.4151205760943,-5380.224609374999,-5091.162109375,-4701.66015625,-4330.224609375,-2613.037109375
CP5,1040800.0,483.32877902852675,306.8658365695007,-178.56445312499997,290.576171875,541.89453125,745.8496093749999,959.912109375
CP1,1040800.0,2254.8139721154253,372.0221088715504,1399.853515625,1982.2265624999998,2442.578125,2573.4374999999995,2618.603515625
Pz,1040800.0,326.65133664646487,686.2197066338725,-1110.205078125,-179.931640625,505.859375,935.693359375,1265.72265625
P3,1040800.0,1853.2751133630682,370.4575819826312,928.466796875,1581.4941406249998,2021.77734375,2177.9296875,2320.5078125
P7,1040800.0,5771.068034682981,845.4504646076496,3955.1757812499995,5096.044921875,6008.740234375,6550.146484375,6936.083984375
O1,1040800.0,-3581.160744458139,342.2537689393401,-4664.599609374999,-3721.875,-3436.3281249999995,-3334.033203125,-3058.2031249999995
Oz,1040800.0,-1413.3696781190702,227.01100615654764,-2054.345703125,-1527.83203125,-1322.75390625,-1241.357421875,-1092.626953125
O2,1040800.0,-1639.9722125839949,667.2842293993413,-3123.6328125,-2087.158203125,-1627.001953125,-1003.1249999999999,-482.66601562499994
P4,1040800.0,-4171.919656951459,510.7457224260011,-5728.369140625,-4461.5234375,-3882.6171875,-3790.13671875,-3686.376953125
