,count,mean,std,min,25%,50%,75%,max
time,1173075.0,1173074.0,677275.4557046933,0.0,586537.0,1173074.0,1759611.0,2346148.0
Fp1,1173075.0,-5309.490002071212,2108.955239964068,-8888.0859375,-7489.746093749999,-4834.277343749999,-3475.830078125,856.396484375
Fz,1173075.0,-1659.1209666301706,1313.7687798524632,-3815.087890625,-2984.814453125,-1260.9375,-500.0,232.71484374999997
F3,1173075.0,-8507.277353989515,1311.661179565348,-10558.59375,-9926.611328125,-8103.124999999999,-7344.287109375,-6688.476562499999
F7,1173075.0,-5942.879661018784,1274.995885279779,-7765.087890624999,-7303.02734375,-5480.908203125,-5083.447265625,-3592.2851562499995
FT9,1173075.0,-7270.758927941121,1798.150554058271,-10500.244140625,-8928.9306640625,-6747.8515625,-5789.453125,-4383.154296875
FC5,1173075.0,-1457.6113621734678,1501.7393766871833,-3807.421875,-3008.7158203125,-1157.8613281249998,-157.080078125,909.86328125
FC1,1173075.0,9425.336748253123,2190.3136069253615,4895.8984375,7562.9150390625,10196.240234374998,11263.330078125,12089.35546875
C3,1173075.0,-12847.604611253077,1459.8804035078533,-15245.41015625,-14407.910156249998,-12482.910156249998,-11577.880859374998,-10729.8828125
T7,1173075.0,-13247.979520720783,1837.5598532864306,-16349.462890625,-15179.931640625,-12781.201171875,-11538.1591796875,-10804.00390625
TP9,1173075.0,-2923.210372911472,1700.2166116278836,-5768.994140625,-4687.548828125,-2382.470703125,-1406.15234375,-427.63671874999994
CP5,1173075.0,-12873.574763483859,1737.8777973109363,-15631.542968749998,-14632.32421875,-12428.3203125,-11373.046874999998,-10204.931640625
CP1,1173075.0,10041.64632483004,2327.7131011584734,5618.1640625,7919.091796875,10745.605468749998,12082.568359374998,13141.845703125
Pz,1173075.0,2935.8836492265254,1799.5346564557406,-158.349609375,1087.8173828125,3465.5761718749995,4534.86328125,5408.935546874999
P3,1173075.0,-9162.885099866071,1451.4195110532617,-11484.9609375,-10891.357421875,-8528.125,-7940.722656249999,-7139.941406249999
P7,1173075.0,1741.519727715486,1589.5241838898417,-1013.427734375,140.0146484375,2219.1406249999995,3161.8652343749995,3914.2089843749995
O1,1173075.0,1990.040189679102,1739.873638498247,-803.9062499999999,239.501953125,2420.5078124999995,3575.439453125,4462.3046875
Oz,1173075.0,-5573.249327521951,1546.8337478732938,-8056.249999999999,-7164.9658203125,-5325.29296875,-4144.189453125,-3405.126953125
O2,1173075.0,234.5919053888818,1519.0838656249034,-2261.083984375,-1319.140625,636.6699218749999,1584.86328125,2430.322265625
P4,1173075.0,-8433.516216436035,791.5330712245187,-9570.556640625,-9242.431640625,-8342.3828125,-7773.291015624999,-7079.8828125
