,count,mean,std,min,25%,50%,75%,max
time,998250.0,998249.0,576340.1948936062,0.0,499124.5,998249.0,1497373.5,1996498.0
Fp1,998250.0,-5074.258045427154,306.0032320197018,-5921.386718749999,-5296.826171875,-5069.287109375,-4869.628906249999,-2370.5078125
Fz,998250.0,5225.014671182382,337.61646770538727,4429.8828125,4957.71484375,5309.0576171875,5518.212890625,5841.796874999999
F3,998250.0,-4582.329475067697,87.13803137863815,-4879.541015625,-4635.791015625,-4584.326171875,-4506.73828125,-4354.541015624999
F7,998250.0,-9191.102929785327,857.364831989078,-11061.914062499998,-9891.796875,-9080.419921875,-8411.181640625,-7717.871093749999
FT9,998250.0,8836.38984350543,161.94135116936386,8258.154296875,8715.4296875,8893.84765625,8957.666015625,9142.724609375
FC5,998250.0,910.1223130223985,774.1599153809531,-263.67187499999994,210.400390625,786.42578125,1505.029296875,2428.369140625
FC1,998250.0,5179.8172707511585,228.5876583530189,4569.384765625,5026.318359374999,5282.177734375,5339.16015625,5514.208984374999
C3,998250.0,8149.743344162832,182.12632309500293,7464.355468749999,8064.892578125,8225.830078125,8272.607421875,8338.623046875
T7,998250.0,5383.883566896366,183.30275218389662,4859.814453125,5264.941406249999,5439.990234375,5518.798828125,5756.4453125
TP9,998250.0,-7085.850857946719,2881.748757608229,-10199.560546875,-9480.65185546875,-8439.599609375,-4454.55322265625,34.9609375
CP5,998250.0,-879.9294960027705,974.4388241655367,-2603.6132812499995,-1787.3901367187498,-1022.4609374999999,60.15624999999999,754.345703125
CP1,998250.0,4751.352938638712,45.512635705771935,4640.283203125,4716.699218749999,4744.189453125,4790.576171875,4872.021484375
Pz,998250.0,-3022.9697128177436,138.55486431264802,-3509.9609375,-3115.234375,-3036.962890625,-2920.166015625,-2730.5175781249995
P3,998250.0,6026.942274762084,217.11674164532704,5373.681640625,5898.6328125,6099.755859375,6191.650390624999,6338.183593749999
P7,998250.0,5183.992879629195,212.81129521843567,4499.8046875,5028.662109375,5246.728515625,5354.833984375,5637.59765625
O1,998250.0,8999.619205484598,392.903804810067,7869.140625,8723.583984375,9151.07421875,9316.748046875,9490.673828124998
Oz,998250.0,5691.057245589938,551.1733715164556,4294.677734374999,5178.759765625,5826.025390625,6215.72265625,6471.38671875
O2,998250.0,9355.250546415211,372.1658820821163,8285.986328125,9042.28515625,9448.876953125,9691.30859375,9999.4140625
P4,998250.0,6474.6766190931785,160.79273342390655,5966.455078124999,6376.318359375,6523.73046875,6598.14453125,6777.1484375
P8,998250.0,7030.420215063862,253.1864468155966,5913.525390625,6833.349609375,7036.962890625,7258.69140625,7621.874999999999
TP10,998250.0,9719.144825172567,103.76680481854032,9304.638671874998,9664.501953125,9711.767578124998,9780.810546875,10400.390625
CP6,998250.0,8094.262814759814,210.76305096090735,7340.576171875,7998.681640625,8160.888671875,8261.279296875,8583.59375
CP2,998250.0,10888.855906430003,302.5801414133871,9987.01171875,10676.66015625,11007.861328125,11130.37109375,11198.779296875
Cz,998250.0,6109.1265138308445,83.9217995858645,5784.9609375,6048.632812499999,6142.67578125,6163.76953125,6235.546874999999
C4,998250.0,-8296.558152743864,177.6306582381548,-8792.28515625,-8486.42578125,-8212.646484374998,-8164.160156249999,-7969.62890625
T8,998250.0,8225.28879650717,91.21663871871152,7761.816406249999,8174.951171875,8242.041015625,8291.015625,8451.904296875
FT10,998250.0,-1863.4000913708364,353.5205388163919,-2373.7792968749995,-2174.169921875,-1952.7343749999998,-1589.35546875,-1069.970703125
FC6,998250.0,9070.330187496087,114.00404496735749,8556.640625,9007.12890625,9100.537109375,9156.103515625,9384.277343749998
FC2,998250.0,6989.029741060528,421.46202177059354,5833.69140625,6665.576171875,7202.880859375,7304.1015625,7451.46484375
F4,998250.0,-1596.9331451133232,137.38633439301117,-1870.60546875,-1670.751953125,-1642.87109375,-1603.22265625,-1041.796875
F8,998250.0,-2700.3502705418077,245.59967997332635,-3059.228515625,-2850.78125,-2806.0546874999995,-2687.59765625,-1836.865234375
Fp2,998250.0,-6436.523999909999,268.0471805598325,-6913.76953125,-6625.09765625,-6542.919921874999,-6293.505859375,-2098.4375
AF7,998250.0,-5980.51022311506,695.287145961857,-7786.865234375,-6509.326171875,-5951.513671874999,-5432.080078125,-3438.720703125
AF3,998250.0,-2413.685187995007,439.8924218933714,-2952.978515625,-2765.3320312499995,-2610.3027343749995,-2190.283203125,-1207.1777343749998
AFz,998250.0,589.8060997370399,357.1036413458341,11.669921874999998,319.580078125,520.068359375,727.0996093749999,1655.419921875
