,count,mean,std,min,25%,50%,75%,max
time,1191500.0,1191499.0,687913.1344145131,0.0,595749.5,1191499.0,1787248.5,2382998.0
Fp1,1191500.0,-27666.85264442962,2914.3209022591573,-34402.9765625,-29816.9921875,-27161.767578125,-25282.666015625,-16336.279296874998
Fz,1191500.0,-18937.867555954614,749.9057756659574,-19644.384765625,-19443.65234375,-19312.40234375,-18597.167968749996,-16369.726562499998
F3,1191500.0,-14745.077427104097,962.857847704828,-16298.437499999998,-15664.794921875,-14760.05859375,-13910.986328125,-12549.4140625
F7,1191500.0,-26717.483568178242,1128.9189907715336,-28621.2890625,-27662.744140624996,-26757.12890625,-25786.572265625,-22821.923828125
FT9,1191500.0,-32017.727390765973,1221.1494318536795,-33631.54296875,-33178.46484375,-32387.841796874996,-30880.95703125,-29235.644531249996
FC5,1191500.0,-6597.755790527958,81.14875414453493,-6813.671875,-6664.648437499999,-6613.818359375,-6543.310546874999,-6207.861328125
FC1,1191500.0,-13175.80155618902,684.2978180853904,-15090.0390625,-13456.396484375,-12816.69921875,-12663.427734375,-12499.12109375
C3,1191500.0,-4872.939878624305,477.2526834163539,-5482.861328125,-5312.255859375,-5000.09765625,-4515.771484375,-3765.8203125
T7,1191500.0,-39029.23568256924,878.8435919787742,-39965.234375,-39651.609375,-39257.95703125,-38752.44140625,-35666.11328125
TP9,1191500.0,-15588.117788108477,610.5344793788609,-16554.248046875,-16166.357421875,-15705.46875,-14926.696777343748,-14407.861328124998
CP5,1191500.0,-8353.414721710424,1492.415152989866,-10462.109374999998,-9721.2890625,-8559.8388671875,-7062.890624999999,-5484.912109375
CP1,1191500.0,-2259.396822750013,469.6087322120008,-3155.859375,-2639.94140625,-2214.013671875,-1846.9238281249998,-1502.001953125
Pz,1191500.0,-1740.3944683451139,669.526104536686,-3143.4570312499995,-2292.2851562499995,-1709.47265625,-1141.3085937499998,-667.7734375
P3,1191500.0,-2532.4261974877386,63.70600232239013,-2810.05859375,-2558.544921875,-2535.05859375,-2512.01171875,-2260.400390625
P7,1191500.0,-22650.8631310569,3151.485340933697,-26888.134765625,-25501.672363281246,-23395.410156249996,-20275.915527343746,-15411.62109375
O1,1191500.0,-4598.9941046852055,187.2801937587175,-4873.046875,-4709.814453125,-4676.7578125,-4612.060546875,-3989.697265625
Oz,1191500.0,-6857.146351967386,1687.7401687868582,-8868.359374999998,-8367.919921875,-7086.474609375,-5883.789062499999,-2479.8828125
O2,1191500.0,-12777.244492195696,1462.891308822413,-14876.708984374998,-13726.52587890625,-13274.804687499998,-11799.93896484375,-9654.394531249998
P4,1191500.0,-18342.60834270418,331.91865014425616,-18883.7890625,-18539.355468749996,-18405.029296875,-18323.486328125,-16845.703125
P8,1191500.0,-24289.443065053896,1727.6165835216866,-25795.99609375,-25441.40625,-25127.001953125,-23774.4140625,-18743.164062499996
TP10,1191500.0,-40638.741304513744,1036.2813484732822,-42097.1171875,-41515.91796874999,-40776.953125,-40020.80078125,-36576.90234374999
CP6,1191500.0,-38741.41231278195,1671.4293245098836,-40899.21875,-40504.34375,-39035.546875,-37144.87109375,-35649.90234375
CP2,1191500.0,-9784.146904833719,529.8996573522254,-11190.869140625,-10205.224609374998,-9756.787109375,-9291.748046875,-8886.328124999998
Cz,1191500.0,-14481.51552189336,1607.247552162582,-16720.60546875,-15789.990234374998,-14770.166015624998,-13378.857421875,-10322.802734374998
C4,1191500.0,-20307.38281774549,322.6326815683328,-21142.529296875,-20591.12548828125,-20179.052734374996,-20058.59375,-19723.583984374996
T8,1191500.0,-26311.940574389228,710.1945451259364,-27233.105468749996,-26935.05859375,-26551.953125,-25922.88818359375,-24164.697265625
FT10,1191500.0,-25705.04835701453,1185.8720385415043,-27833.69140625,-26781.787109375,-25461.2548828125,-24682.177734374996,-22426.904296874996
FC6,1191500.0,-22206.054627176876,612.5063467428138,-23144.7265625,-22828.857421874996,-22242.1875,-21770.947265625,-20571.58203125
FC2,1191500.0,-22218.328102091968,1702.9909446384843,-24718.06640625,-23447.216796875,-22788.671875,-21287.98828125,-17763.4765625
F4,1191500.0,-21819.588797848694,1978.3648850090437,-25553.125,-23343.310546875,-21609.8388671875,-20050.87890625,-18221.337890624996
F8,1191500.0,-15962.72087155437,549.178607611991,-16889.453125,-16385.058593749996,-16051.708984375,-15512.060546875,-13545.068359374998
Fp2,1191500.0,-20283.717700902223,1368.9775783142,-22607.958984375,-21456.787109375,-20161.181640624996,-19118.75,-10239.74609375
AF7,1191500.0,-28372.043384792672,2731.1049803270025,-33957.32421875,-30552.4658203125,-27817.431640624996,-26127.001953125,-17083.49609375
AF3,1191500.0,-21578.86293226107,953.3863881191226,-23173.486328125,-22497.412109375,-21451.3427734375,-20704.296875,-19032.32421875
AFz,1191500.0,-15438.18215021605,677.6391675887247,-16608.642578125,-16063.671874999998,-15476.220703125,-14891.29638671875,-12892.87109375
F1,1191500.0,-15488.33969581082,562.697685996128,-16358.398437499998,-16054.687499999998,-15523.291015625,-15016.015624999998,-13948.14453125
F5,1191500.0,-14589.828083937657,414.2331684494602,-15350.439453125,-14976.611328125,-14602.929687499998,-14233.7890625,-13203.173828125
FT7,1191500.0,-22650.09367361257,1644.3922838993801,-24067.67578125,-23813.574218749996,-23498.046874999996,-21876.123046874996,-17596.142578124996
FC3,1191500.0,-8528.678072545112,314.4769537743474,-8949.70703125,-8773.779296875,-8655.6640625,-8296.97265625,-7758.447265624999
FCz,1191500.0,-9417.6984784394,2047.8675325552572,-12754.443359375,-11408.789062499998,-8960.205078125,-7375.537109375,-6643.65234375
C1,1191500.0,-19472.867975880585,564.8194793129969,-20593.1640625,-19880.126953125,-19689.306640624996,-18959.912109374996,-18293.9453125
