,count,mean,std,min,25%,50%,75%,max
time,847725.0,847724.0,489434.545623825,0.0,423862.0,847724.0,1271586.0,1695448.0
Fp1,847725.0,-13096.74992926841,965.0750201895675,-15298.388671875,-13847.900390625,-12970.263671875,-12220.458984375,-11318.26171875
Fz,847725.0,-8858.19905678157,168.65024886609092,-9189.794921875,-8959.765625,-8898.925781249998,-8792.041015625,-8180.224609375
F3,847725.0,295.83926482230015,393.23771058430697,-305.810546875,-85.10742187499999,275.341796875,648.2910156249999,1060.15625
F7,847725.0,-2796.759716838634,161.72745433130328,-3501.5625,-2869.091796875,-2797.16796875,-2701.4648437499995,-2231.2499999999995
FT9,847725.0,-19152.887536137623,398.614977522896,-19941.455078125,-19502.587890625,-19175.048828125,-18808.251953125,-18063.427734375
FC5,847725.0,-15479.46063280121,162.78180844442215,-15917.480468749998,-15592.871093749998,-15437.988281249998,-15348.095703125,-15184.326171875
FC1,847725.0,-7709.942998517171,587.7635233780853,-8970.556640625,-8190.332031249999,-7361.23046875,-7278.515625,-7094.580078125
C3,847725.0,-10975.06755644473,320.1372571777772,-11624.853515625,-11243.1640625,-10852.34375,-10703.80859375,-10446.826171875
T7,847725.0,-6244.7475965659005,658.7472670071742,-7388.916015624999,-6773.730468749999,-6360.156249999999,-5740.478515624999,-4828.369140624999
TP9,847725.0,-15008.20957378572,1034.996414447793,-16640.966796875,-15913.96484375,-15212.01171875,-14001.07421875,-12990.33203125
CP5,847725.0,-8802.071304931029,181.43987365331677,-9132.763671875,-8927.099609375,-8847.36328125,-8643.45703125,-8145.703124999999
CP1,847725.0,-12556.380284306435,429.040808283646,-13272.36328125,-12922.36328125,-12511.669921875,-12189.55078125,-11785.546874999998
Pz,847725.0,-4300.407875041011,118.32854052922931,-4487.20703125,-4399.365234375,-4329.736328125,-4198.53515625,-3986.7675781249995
P3,847725.0,-14419.793198051679,179.40138748465756,-14750.537109375,-14626.562499999998,-14348.046875,-14266.162109375,-14073.583984374998
P7,847725.0,-262.2296826386431,101.12480329364276,-545.166015625,-302.49023437499994,-248.681640625,-183.642578125,-30.908203124999996
O1,847725.0,-8012.719878479902,299.8576545931839,-8497.509765625,-8189.404296874999,-8079.248046874999,-7935.644531249999,-7147.8515625
Oz,847725.0,-1726.0965556480212,602.5482797117659,-2853.61328125,-2174.1210937499995,-1752.1484375,-1233.9843749999998,-675.8789062499999
