,count,mean,std,min,25%,50%,75%,max
time,837000.0,836999.0,483242.4639867651,0.0,418499.5,836999.0,1255498.5,1673998.0
Fp1,837000.0,-49.85536467667264,723.469485602733,-1501.708984375,-602.978515625,-102.5390625,558.10546875,1380.56640625
Fz,837000.0,-9733.753816119231,572.824167858784,-10876.318359375,-10171.875,-9718.9453125,-9213.916015625,-8868.9453125
F3,837000.0,-7463.396416412317,867.6984305484942,-9102.490234375,-8194.189453125,-7406.396484374999,-6669.384765625,-6010.546875
F7,837000.0,-9913.768733140587,482.74947585009403,-11023.681640625,-10247.753906249998,-9879.8828125,-9446.19140625,-9122.607421875
FT9,837000.0,-15002.09584336731,741.8243406743256,-16512.98828125,-15568.115234374998,-15032.666015625,-14248.2421875,-13737.109374999998
FC5,837000.0,-7224.872292051691,595.7350458286713,-8326.220703125,-7657.666015625,-7246.09375,-6632.763671875,-6211.572265625
FC1,837000.0,-8350.645591409517,510.6402790107995,-9518.164062499998,-8726.904296875,-8257.080078125,-7921.679687499999,-7509.814453124999
C3,837000.0,-7272.526196551579,594.6289126293863,-8418.26171875,-7790.33203125,-7218.798828124999,-6740.380859375,-6304.785156249999
T7,837000.0,-9465.392796188957,526.5965637793153,-10488.671875,-9888.4765625,-9513.525390625,-8956.494140625,-8471.923828125
TP9,837000.0,-19100.991192619662,1232.4872121836968,-20908.3984375,-20259.86328125,-19206.249999999996,-17923.53515625,-16885.64453125
CP5,837000.0,-11088.561733159255,949.4309814608844,-12767.285156249998,-11900.390625,-11061.230468749998,-10175.244140625,-9477.294921874998
CP1,837000.0,-1896.546091941551,87.56166520398648,-2078.564453125,-1968.1640625,-1892.6269531249998,-1833.203125,-1669.921875
Pz,837000.0,1778.2998924847857,749.7482134085624,312.84179687499994,1248.7792968749998,1884.5214843749998,2506.26220703125,2914.6484375
P3,837000.0,-5505.124465457456,695.70395168846,-6707.2265625,-6107.861328124999,-5557.12890625,-4886.083984375,-4283.544921875
P7,837000.0,-13024.447510815693,710.9074267442309,-14333.0078125,-13619.775390625,-13066.11328125,-12325.5859375,-11785.3515625
O1,837000.0,-10267.692251262413,233.1575069502623,-10783.10546875,-10444.82421875,-10208.447265625,-10061.474609375,-9901.3671875
Oz,837000.0,-8356.25095211927,85.97055132876609,-8516.845703125,-8433.691406249998,-8370.849609375,-8273.92578125,-8154.8828125
O2,837000.0,-9951.713148124813,163.85120797588306,-10208.3984375,-10113.4765625,-9989.55078125,-9785.302734375,-9668.652343749998
P4,837000.0,-9893.96828260342,1065.9586202599098,-11718.701171875,-10920.41015625,-9810.8642578125,-8909.912109375,-8131.884765625
P8,837000.0,-20948.006266801076,789.5364263465437,-22249.169921875,-21615.380859375,-21043.5546875,-20238.720703124996,-19422.94921875
