,count,mean,std,min,25%,50%,75%,max
time,892500.0,892499.0,515285.4039267947,0.0,446249.5,892499.0,1338748.5,1784998.0
Fp1,892500.0,-19521.5452501313,3159.2997711692447,-25162.304687499996,-21681.396484375,-20950.537109375,-17883.82568359375,-3945.0683593749995
Fz,892500.0,-712.3286764705882,255.72005424401843,-1443.115234375,-861.474609375,-653.2714843749999,-524.560546875,-75.1953125
F3,892500.0,-2232.257770154937,653.3979033585548,-3897.412109375,-2816.6503906249995,-2223.486328125,-1601.0253906249998,-731.73828125
F7,892500.0,-1633.8132154893208,123.72808201929477,-2359.2773437499995,-1709.1796875,-1662.20703125,-1572.998046875,-939.0625
FT9,892500.0,-14367.364877724527,269.72185963104226,-15930.126953124998,-14486.42578125,-14259.375,-14174.023437499998,-13671.2890625
FC5,892500.0,-4442.461539850315,495.37697292538166,-5882.958984375,-4868.408203125,-4442.822265625,-3964.35546875,-3203.466796875
FC1,892500.0,5151.865228739934,1439.047822114106,1964.1601562499998,4000.67138671875,5377.978515625,6403.027343749999,7638.4765625
C3,892500.0,-1478.1156095719539,448.7145200018597,-2988.0371093749995,-1682.28759765625,-1293.84765625,-1140.625,-412.25585937499994
T7,892500.0,2830.211817992822,296.702147828852,1818.8476562499998,2551.806640625,2876.5625,3097.4731445312495,3492.48046875
TP9,892500.0,-404994.1200980042,215.65256403043853,-405847.9375,-405055.93749999994,-404940.31249999994,-404848.8125,-404457.59374999994
CP5,892500.0,-5053.413031446954,584.1567709660887,-6118.603515624999,-5577.490234374999,-5081.689453125,-4617.431640625,-3698.779296875
CP1,892500.0,14239.523077402837,896.3222996450148,12455.029296875,13528.076171874998,14259.814453125,15000.195312499998,15856.591796875
Pz,892500.0,3643.72968481924,323.3675865674614,2953.173828125,3373.73046875,3698.291015625,3915.8203125000005,4145.947265625
P3,892500.0,4110.8755217633925,399.44884898391234,2977.6367187499995,3855.126953125,4270.947265625,4417.138671875,4667.724609375
P7,892500.0,-3447.7245272015057,738.7614739602743,-4726.318359375,-4113.720703125,-3439.599609375,-2822.75390625,-2140.91796875
O1,892500.0,-9448.943782606793,2148.059645185855,-12965.478515625,-11314.74609375,-9661.816406249998,-7742.919921875,-5310.986328125
Oz,892500.0,-3969.3417166710433,1106.360775259206,-5365.771484374999,-5176.220703125,-4097.314453125,-2877.6855468749995,-2071.728515625
O2,892500.0,-5369.058408066351,1118.580857404872,-7183.203125,-6395.507812499999,-5400.927734375,-4361.328125,-3422.412109375
P4,892500.0,-2461.6024209449406,188.75871570062898,-2928.271484375,-2572.3754882812495,-2426.025390625,-2277.44140625,-2107.568359375
P8,892500.0,-3006.130337009804,286.2394016189966,-3676.806640625,-3278.662109375,-2902.34375,-2737.109375,-2561.03515625
TP10,892500.0,-16284.059952512254,716.3162688303136,-21532.373046874996,-16706.103515625,-16153.3203125,-15796.09375,-15013.671874999998
CP6,892500.0,-1621.5404230676645,415.262212072651,-2418.9941406249995,-1953.125,-1691.9433593749998,-1306.04248046875,-541.357421875
CP2,892500.0,-383.78194623161767,25.243176795484782,-472.216796875,-399.07226562499994,-385.30273437499994,-366.650390625,-233.00781249999997
Cz,892500.0,-5248.016836922269,103.78582742455383,-5520.996093749999,-5322.8515625,-5258.88671875,-5175.29296875,-4944.7265625
C4,892500.0,-4536.961255197391,552.3486066095262,-5475.537109374999,-5082.421875,-4555.078125,-4081.93359375,-3026.0253906249995
T8,892500.0,1083.6975080422794,1102.6112186022658,-1451.26953125,171.38671875,1407.666015625,2145.556640625,2447.75390625
FT10,892500.0,-15551.09790216868,565.1205211408366,-17830.46875,-16007.177734375,-15368.749999999998,-15086.572265624998,-14062.109375
FC6,892500.0,-5099.804323190214,741.1001355559848,-6564.794921875,-5831.8359375,-5048.92578125,-4454.541015625,-3545.4101562499995
FC2,892500.0,-11531.3787383469,57.77117129520351,-11807.031249999998,-11564.6484375,-11521.337890624998,-11496.923828125,-11228.125
F4,892500.0,-2783.5920501247374,447.7774755622991,-3736.5234375,-3175.78125,-2754.98046875,-2394.3359375,-1820.849609375
F8,892500.0,1602.9064858521533,377.71038425769564,450.14648437499994,1330.3710937499998,1682.32421875,1931.201171875,2313.623046875
Fp2,892500.0,-101.07118642769608,256.2482733235751,-1113.4765624999998,-88.037109375,-13.525390625,36.865234375,541.69921875
AF7,892500.0,-17149.85442117472,1391.9123249500722,-20358.935546875,-18481.347656249996,-17483.447265625,-16013.427734374998,-11487.548828125
AF3,892500.0,-2168.4369152113973,294.4353240400799,-3066.650390625,-2434.86328125,-2147.3144531249995,-1942.4804687499998,662.98828125
