,count,mean,std,min,25%,50%,75%,max
time,972100.0,972099.0,561242.4853542955,0.0,486049.5,972099.0,1458148.5,1944198.0
Fp1,972100.0,-2524.0287614282224,851.6547880312586,-4185.400390625,-3264.16015625,-2494.140625,-1741.6992187499998,-770.80078125
Fz,972100.0,-4840.033506712272,500.68212610749947,-6010.595703125,-5256.4453125,-4682.32421875,-4353.125,-4138.525390625
F3,972100.0,-9744.062115091121,941.8376894702477,-12205.126953125,-10546.240234374998,-9563.427734375,-8890.478515625,-8349.609374999998
F7,972100.0,-14977.290788336382,1525.8080311724023,-17829.003906249996,-16377.441406249998,-14935.424804687498,-13583.447265625,-12326.220703125
FT9,972100.0,-10751.291869778139,1266.1488973125706,-13718.554687499998,-11479.650878906248,-10364.453125,-9860.302734375,-8820.41015625
FC5,972100.0,-11560.480894395028,1138.4571131127464,-14136.083984374998,-12559.130859375,-11556.201171874998,-10492.041015625,-9669.82421875
FC1,972100.0,3297.8304248594377,594.1022310894359,2074.4140625,2843.2617187499995,3459.814453125,3794.23828125,4123.388671875
C3,972100.0,3447.9552288135865,143.0107985838747,3142.578125,3304.3945312499995,3493.505859375,3559.5214843749995,3856.8359375
T7,972100.0,-19560.324325839356,1312.4926973276479,-22244.628906249996,-20690.72265625,-19403.271484374996,-18336.21826171875,-17234.228515625
TP9,972100.0,-11158.207270292327,537.2986756832893,-12047.705078125,-11652.294921874998,-11293.457031249998,-10663.867187499998,-9867.285156249998
CP5,972100.0,-15380.229679192036,589.5039965747709,-16440.136718749996,-15837.79296875,-15651.025390625,-14848.14453125,-13914.84375
CP1,972100.0,6611.504878291842,280.2119615291895,5531.54296875,6541.796874999999,6666.69921875,6805.224609375,6966.6015625
Pz,972100.0,7767.208696911406,148.02775444731037,7473.291015624999,7671.826171875,7733.7890625,7863.232421875,8128.22265625
P3,972100.0,3749.589723801885,227.667298547982,3359.326171875,3540.576171875,3717.236328125,3972.6562499999995,4312.98828125
P7,972100.0,-15443.9533446035,980.6986154963398,-17116.69921875,-16337.255859375,-15411.71875,-14547.4609375,-13632.226562499998
O1,972100.0,-10793.791690308031,455.9005317076449,-11790.4296875,-11203.61328125,-10708.056640625,-10447.119140624998,-9543.65234375
Oz,972100.0,-17768.890675430448,1147.6392421066014,-20318.017578125,-18651.025390625,-17648.193359374996,-16860.7421875,-15656.933593749998
O2,972100.0,-17041.01963371824,936.060305789808,-19322.314453125,-17650.585937499996,-16951.07421875,-16349.072265625,-15279.736328125
P4,972100.0,-17656.68679301938,1435.7320601286574,-20037.646484374996,-19017.041015625,-17666.6748046875,-16300.68359375,-15073.046875
P8,972100.0,-23560.39153435539,762.3542038210238,-25289.697265624996,-24080.224609375,-23611.328124999996,-22851.66015625,-21780.56640625
TP10,972100.0,-26106.518500690756,1293.0151887720212,-28083.349609375,-27242.578125,-26357.2265625,-25027.392578125,-23366.11328125
CP6,972100.0,-11810.329446388216,1128.0239363655412,-14280.224609375,-12716.90673828125,-11691.30859375,-10832.2265625,-9624.658203124998
CP2,972100.0,-1759.6226624684157,343.044492940751,-2647.216796875,-1966.552734375,-1665.52734375,-1501.416015625,-1141.0156249999998
Cz,972100.0,8637.097738877575,358.12824030227927,7423.144531249999,8381.201171875,8711.572265625,8929.296875,9234.47265625
C4,972100.0,-14375.09264454853,974.2837801888696,-16202.880859374998,-15333.49609375,-14474.902343749998,-13379.443359375,-12448.2421875
T8,972100.0,-14968.143901773545,1178.1188504940435,-18204.638671875,-15828.027343749998,-15229.39453125,-13904.1015625,-11362.011718749998
FT10,972100.0,-10801.59284179989,271.40298181340864,-11465.576171875,-10977.24609375,-10731.982421875,-10650.5859375,-6969.677734375
FC6,972100.0,-17704.164751699365,1198.4762506826437,-20199.90234375,-18691.30859375,-17711.03515625,-16654.33349609375,-15606.640625
FC2,972100.0,-776.8024677566608,520.8016075825931,-1675.1953124999998,-1290.8203124999998,-716.1865234375,-260.64453124999994,139.892578125
F4,972100.0,-14280.74171946125,996.2802804927047,-16854.8828125,-14790.52734375,-14216.357421875,-13418.359375,-12710.058593749998
F8,972100.0,5157.1239776784,744.0631821266591,3586.279296875,4551.611328125,5185.15625,5792.626953124999,6591.40625
Fp2,972100.0,-5194.166166363816,498.18484074684625,-6226.85546875,-5626.806640625,-5164.6484375,-4744.238281249999,-4066.650390625
AF7,972100.0,571.4473667370415,407.32101327802127,-225.83007812499997,217.08984375,421.38671875,972.900390625,1710.595703125
AF3,972100.0,-8378.792654714985,2109.3566368236966,-12771.679687499998,-10109.86328125,-8070.60546875,-6469.677734375,-5064.892578125
AFz,972100.0,-5412.339406049886,166.69817354528703,-5887.158203124999,-5524.21875,-5442.138671875,-5308.642578125,-4851.904296875
F1,972100.0,8197.13217820151,638.9210910291588,7075.537109374999,7704.00390625,8166.064453125,8721.19140625,9350.683593749998
F5,972100.0,3150.8435592282494,797.6982641111995,1918.26171875,2522.36328125,2979.931640625,3697.0214843749995,5045.458984375
FT7,972100.0,-19877.502291471108,1024.8079475899287,-21775.439453125,-20839.501953125,-19866.259765624996,-18867.48046875,-18070.80078125
FC3,972100.0,14869.67090923685,1077.5680970105914,12980.517578125,13899.70703125,15053.955078124998,15783.642578125,16629.345703125
FCz,972100.0,24503.113836487213,592.0342186475815,23267.236328125,24029.492187499996,24611.181640625,24901.08642578125,25518.9453125
C1,972100.0,3513.750292335858,410.7275092708321,2061.03515625,3338.57421875,3701.806640625,3774.0722656249995,3935.8398437499995
C5,972100.0,-17777.343508948492,1413.0304652743357,-20194.873046875,-19118.9453125,-17718.359375,-16468.9453125,-15336.816406249998
TP7,972100.0,3227.8407134240624,216.1312469183422,2895.8984375,3068.408203125,3146.3134765625,3395.7641601562495,4054.296875
CP3,972100.0,-443.1616252125714,259.32497782590764,-872.4609375,-682.8613281249999,-442.28515624999994,-263.62304687499994,115.52734374999999
P1,972100.0,3746.065084912014,307.2116034045212,3222.55859375,3545.263671875,3680.2734374999995,3925.30517578125,4471.2890625
P5,972100.0,-2754.5477709943357,253.9309642862232,-3061.865234375,-2911.81640625,-2844.091796875,-2771.47216796875,-1885.595703125
PO7,972100.0,-2388.517797427123,536.9754758545988,-3804.8828125,-2748.33984375,-2250.2441406249995,-1916.9921874999998,-1606.005859375
PO3,972100.0,-17933.59902088584,878.4247938178844,-19611.181640625,-18710.25390625,-17775.488281249996,-17128.173828125,-16495.01953125
POz,972100.0,-9531.912566413483,1761.6882660337671,-12478.564453124998,-11139.16015625,-9625.244140625,-7930.95703125,-6598.486328125
PO4,972100.0,-14153.552252673819,1318.442353559565,-16833.935546874996,-15312.65869140625,-13969.9951171875,-12929.345703125,-12217.187499999998
PO8,972100.0,-10183.338202248997,675.9571914439737,-11634.228515625,-10749.365234374998,-10088.76953125,-9545.849609374998,-9132.958984375
P6,972100.0,-15978.61226415227,1454.5370527677205,-18464.111328124996,-17412.939453124996,-15978.662109375,-14523.583984375,-13252.636718749998
P2,972100.0,-12498.661574631436,1411.235235167404,-14782.226562499998,-13819.287109375,-12560.986328124998,-11124.365234375,-10178.369140625
CP4,972100.0,-5061.712992138878,4719.134231914705,-12189.892578125,-9912.3046875,-4493.896484375,-746.37451171875,2468.359375
TP8,972100.0,-16908.537269958804,1230.936293009895,-19714.94140625,-17771.142578125,-16674.90234375,-15813.378906249998,-14398.33984375
C6,972100.0,-16329.653467485019,1141.5344335680702,-18640.966796875,-17313.671875,-16228.906249999998,-15229.98046875,-14456.298828124998
C2,972100.0,-1380.8347714717172,547.8623573374239,-2273.046875,-1666.69921875,-1495.21484375,-1200.634765625,225.439453125
FC4,972100.0,-7181.843483833726,1190.9593323182282,-9824.121093749998,-8100.0,-6816.870117187499,-6223.52294921875,-5294.7265625
FT8,972100.0,-21023.568182918665,472.58060613372896,-22895.361328125,-21125.634765625,-20927.83203125,-20684.619140625,-20300.146484375
F6,972100.0,-16902.456996541394,2030.6911446967588,-21736.1328125,-18392.333984375,-16715.283203125,-15076.708984375,-13681.54296875
F2,972100.0,-11565.956171169777,681.4463314056317,-12789.2578125,-12275.87890625,-11563.623046874998,-10932.763671875,-10308.789062499998
AF4,972100.0,-12752.16960934687,1919.5608812656506,-16861.962890625,-14289.355468749998,-12517.7490234375,-10960.107421874998,-9861.03515625
AF8,972100.0,-1074.7743031054708,849.205164294913,-3078.076171875,-1808.5937499999998,-1041.162109375,-271.58203125,543.0664062499999
VEOG,972100.0,-215281.8849130064,98269.3193302174,-414443.625,-298746.29687499994,-232162.46875,-153131.70703125,60313.640625
X,972100.0,-719034.7002469364,178972.71978035293,-1138373.375,-870275.8125,-806436.09375,-562820.140625,-207246.84375
Y,972100.0,-787400.8338399631,133688.9955286984,-1256794.375,-899037.890625,-736856.4375,-687679.0625,-177977.98437499997
Z,972100.0,-1091538.0731102768,45282.78398985204,-1370303.625,-1110467.8749999998,-1087367.25,-1067338.0,-879329.4374999999
