onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
329.8840000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
330.3600000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
330.4340000000	n/a	n/a	FB: 0	n/a	n/a	S  9
332.5200000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
332.9940000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
333.0520000000	n/a	n/a	FB: +1	n/a	n/a	S  8
335.1380000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
335.8220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
335.8880000000	n/a	n/a	FB: +1	n/a	n/a	S  8
337.9740000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
338.4660000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
338.5400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
340.6260000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
341.0980000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
341.1600000000	n/a	n/a	FB: 0	n/a	n/a	S  9
343.2440000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
343.6660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
343.7280000000	n/a	n/a	FB: +1	n/a	n/a	S  8
345.8120000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
346.3260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
346.3960000000	n/a	n/a	FB: +1	n/a	n/a	S  8
348.4820000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
349.1540000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
349.2160000000	n/a	n/a	FB: 0	n/a	n/a	S  9
351.3000000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
351.8540000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
351.9180000000	n/a	n/a	FB: +1	n/a	n/a	S  8
354.0020000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
354.5500000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
354.6200000000	n/a	n/a	FB: 0	n/a	n/a	S  9
356.7040000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
357.2020000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
357.2720000000	n/a	n/a	FB: 0	n/a	n/a	S  9
359.3560000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
359.9140000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
359.9740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
362.0580000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
362.4900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
362.5580000000	n/a	n/a	FB: 0	n/a	n/a	S  9
364.6440000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
365.1900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
365.2600000000	n/a	n/a	FB: 0	n/a	n/a	S  9
367.3460000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
367.7340000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
367.7960000000	n/a	n/a	FB: +1	n/a	n/a	S  8
369.8820000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
370.2820000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
370.3480000000	n/a	n/a	FB: +1	n/a	n/a	S  8
372.4340000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
372.8820000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
372.9500000000	n/a	n/a	FB: 0	n/a	n/a	S  9
375.0360000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
375.5780000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
375.6360000000	n/a	n/a	FB: +1	n/a	n/a	S  8
377.7200000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
378.1700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
378.2380000000	n/a	n/a	FB: 0	n/a	n/a	S  9
380.3220000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
381.0820000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
381.1400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
383.2240000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
383.7980000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
383.8580000000	n/a	n/a	FB: 0	n/a	n/a	S  9
385.9440000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
386.3740000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
386.4440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
388.5280000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
389.0260000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
389.0960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
391.1800000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
391.8700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
391.9320000000	n/a	n/a	FB: +1	n/a	n/a	S  8
394.0160000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
394.4780000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
394.5500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
396.6360000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
397.1660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
397.2360000000	n/a	n/a	FB: 0	n/a	n/a	S  9
399.3200000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
399.8660000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
399.9380000000	n/a	n/a	FB: 0	n/a	n/a	S  9
402.0220000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
402.6780000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
402.7400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
404.8240000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
405.3940000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
405.4580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
407.5440000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
408.2140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
408.2780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
410.3620000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
410.9580000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
