onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
359.6540000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
360.4540000000	n/a	n/a	Trn No Response	n/a	n/a	S105
362.5560000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
363.2820000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
365.3920000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
366.1500000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
368.2600000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
368.9660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
369.0280000000	n/a	n/a	FB: 0	n/a	n/a	S  9
371.1120000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
371.7660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
371.8300000000	n/a	n/a	FB: +1	n/a	n/a	S  8
373.9140000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
374.5340000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
374.5980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
376.6840000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
377.4020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
377.4680000000	n/a	n/a	FB: +1	n/a	n/a	S  8
379.5520000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
380.1260000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
380.1860000000	n/a	n/a	FB: +1	n/a	n/a	S  8
382.2700000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
382.9460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
383.0040000000	n/a	n/a	FB: 0	n/a	n/a	S  9
385.0900000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
385.8900000000	n/a	n/a	Trn No Response	n/a	n/a	S105
387.9920000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
388.5620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
388.6260000000	n/a	n/a	FB: +1	n/a	n/a	S  8
390.7100000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
391.1900000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
391.2620000000	n/a	n/a	FB: +1	n/a	n/a	S  8
393.3460000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
393.8660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
393.9300000000	n/a	n/a	FB: 0	n/a	n/a	S  9
396.0140000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
396.8140000000	n/a	n/a	Trn No Response	n/a	n/a	S105
398.9160000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
399.3420000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
399.4000000000	n/a	n/a	FB: 0	n/a	n/a	S  9
401.4860000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
402.1540000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
402.2200000000	n/a	n/a	FB: 0	n/a	n/a	S  9
404.3040000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
404.7740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
404.8380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
406.9240000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
407.4060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
407.4740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
409.5580000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
