onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
359.5880000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
360.1980000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
362.3060000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
362.9700000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
363.0400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
365.1260000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
365.6780000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
365.7420000000	n/a	n/a	FB: 0	n/a	n/a	S  9
367.8280000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
368.3060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
368.3780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
370.4620000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
371.0660000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
371.1300000000	n/a	n/a	FB: 0	n/a	n/a	S  9
373.2140000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
373.6700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
373.7320000000	n/a	n/a	FB: 0	n/a	n/a	S  9
375.8160000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
376.4900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
376.5500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
378.6360000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
379.3700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
379.4360000000	n/a	n/a	FB: +1	n/a	n/a	S  8
381.5200000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
382.2300000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
382.2880000000	n/a	n/a	FB: +1	n/a	n/a	S  8
384.3740000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
385.1740000000	n/a	n/a	Trn No Response	n/a	n/a	S105
387.2760000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
387.8980000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
387.9600000000	n/a	n/a	FB: 0	n/a	n/a	S  9
390.0440000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
390.7220000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
390.7940000000	n/a	n/a	FB: +1	n/a	n/a	S  8
392.8800000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
393.4260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
393.4960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
395.5820000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
396.2220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
396.2820000000	n/a	n/a	FB: 0	n/a	n/a	S  9
398.3680000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
