onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
365.5240000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
366.1340000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
366.2080000000	n/a	n/a	FB: +1	n/a	n/a	S  8
368.2940000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
368.9740000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
369.0440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
371.1300000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
371.8180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
371.8800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
373.9640000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
374.4060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
374.4660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
376.5500000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
377.1380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
377.2000000000	n/a	n/a	FB: 0	n/a	n/a	S  9
379.2860000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
380.0700000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
380.1360000000	n/a	n/a	FB: 0	n/a	n/a	S  9
382.2220000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
382.8780000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
382.9380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
385.0240000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
385.7060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
385.7740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
387.8580000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
388.3540000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
388.4260000000	n/a	n/a	FB: +1	n/a	n/a	S  8
390.5100000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
391.3100000000	n/a	n/a	Trn No Response	n/a	n/a	S105
393.4140000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
394.2140000000	n/a	n/a	Trn No Response	n/a	n/a	S105
396.3160000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
397.1160000000	n/a	n/a	Trn No Response	n/a	n/a	S105
399.2180000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
399.9940000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
400.0680000000	n/a	n/a	FB: 0	n/a	n/a	S  9
402.1540000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
402.7580000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
402.8200000000	n/a	n/a	FB: 0	n/a	n/a	S  9
404.9060000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
405.6700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
405.7400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
407.8240000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
408.3900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
408.4580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
410.5420000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
411.3420000000	n/a	n/a	Trn No Response	n/a	n/a	S105
413.4460000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
414.2460000000	n/a	n/a	Trn No Response	n/a	n/a	S105
416.3480000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
416.9860000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
417.0480000000	n/a	n/a	FB: +1	n/a	n/a	S  8
419.1320000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
419.9320000000	n/a	n/a	Trn No Response	n/a	n/a	S105
422.0340000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
422.7620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
422.8360000000	n/a	n/a	FB: +1	n/a	n/a	S  8
424.9200000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
425.7200000000	n/a	n/a	Trn No Response	n/a	n/a	S105
427.8220000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
428.6220000000	n/a	n/a	Trn No Response	n/a	n/a	S105
430.7240000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
431.5260000000	n/a	n/a	Trn No Response	n/a	n/a	S105
433.6280000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
434.3740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
434.4440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
436.5300000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
437.3300000000	n/a	n/a	Trn No Response	n/a	n/a	S105
439.4320000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
440.1340000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
440.1980000000	n/a	n/a	FB: +1	n/a	n/a	S  8
442.2840000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
442.9340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
443.0000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
445.0860000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
445.5100000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
447.6220000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
448.4220000000	n/a	n/a	Trn No Response	n/a	n/a	S105
450.5240000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
451.0300000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
451.0900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
453.1760000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
453.7420000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
453.8100000000	n/a	n/a	FB: 0	n/a	n/a	S  9
455.8940000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
456.6940000000	n/a	n/a	Trn No Response	n/a	n/a	S105
458.7960000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
459.5460000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
459.6140000000	n/a	n/a	FB: 0	n/a	n/a	S  9
461.6980000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
462.2520000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
462.3160000000	n/a	n/a	FB: 0	n/a	n/a	S  9
464.4000000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
464.7960000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
466.9020000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
467.7020000000	n/a	n/a	Trn No Response	n/a	n/a	S105
469.8040000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
470.5960000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
470.6560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
472.7400000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
473.2960000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
473.3580000000	n/a	n/a	FB: 0	n/a	n/a	S  9
475.4420000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
476.1080000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
476.1760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
478.2620000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
478.6640000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
478.7280000000	n/a	n/a	FB: +1	n/a	n/a	S  8
480.8140000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
481.4080000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
481.4800000000	n/a	n/a	FB: 0	n/a	n/a	S  9
483.5660000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
