onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
486.3020000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
486.9340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
487.0020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
489.0880000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
489.7620000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
489.8220000000	n/a	n/a	FB: +1	n/a	n/a	S  8
491.9060000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
492.5220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
492.5900000000	n/a	n/a	FB: 0	n/a	n/a	S  9
494.6760000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
495.1780000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
495.2420000000	n/a	n/a	FB: 0	n/a	n/a	S  9
497.3280000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
498.0700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
498.1280000000	n/a	n/a	FB: 0	n/a	n/a	S  9
500.2120000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
500.8140000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
500.8800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
502.9640000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
503.7180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
503.7820000000	n/a	n/a	FB: 0	n/a	n/a	S  9
505.8680000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
506.4700000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
506.5340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
508.6200000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
509.4200000000	n/a	n/a	Trn No Response	n/a	n/a	S105
511.5220000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
512.1340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
512.2060000000	n/a	n/a	FB: 0	n/a	n/a	S  9
514.2900000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
514.7180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
514.7900000000	n/a	n/a	FB: +1	n/a	n/a	S  8
516.8760000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
517.6580000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
517.7260000000	n/a	n/a	FB: +1	n/a	n/a	S  8
519.8120000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
520.2780000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
520.3440000000	n/a	n/a	FB: +1	n/a	n/a	S  8
522.4300000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
523.2300000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
523.2980000000	n/a	n/a	FB: +1	n/a	n/a	S  8
525.3820000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
525.9060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
525.9660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
528.0500000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
528.8020000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
528.8680000000	n/a	n/a	FB: +1	n/a	n/a	S  8
530.9540000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
531.5020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
