onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
501.0100000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
501.8100000000	n/a	n/a	Trn No Response	n/a	n/a	S105
503.9120000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
504.7120000000	n/a	n/a	Trn No Response	n/a	n/a	S105
506.8140000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
507.2800000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
507.3480000000	n/a	n/a	FB: 0	n/a	n/a	S  9
509.4340000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
510.2340000000	n/a	n/a	Trn No Response	n/a	n/a	S105
512.3360000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
512.9580000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
513.0200000000	n/a	n/a	FB: 0	n/a	n/a	S  9
515.1040000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
515.5220000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
515.5880000000	n/a	n/a	FB: +1	n/a	n/a	S  8
517.6740000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
518.1900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
518.2560000000	n/a	n/a	FB: 0	n/a	n/a	S  9
520.3420000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
520.9060000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
520.9760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
523.0600000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
523.6100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
523.6780000000	n/a	n/a	FB: 0	n/a	n/a	S  9
525.7620000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
526.3260000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
526.3960000000	n/a	n/a	FB: +1	n/a	n/a	S  8
528.4820000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
528.9860000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
529.0480000000	n/a	n/a	FB: 0	n/a	n/a	S  9
531.1340000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
531.9340000000	n/a	n/a	Trn No Response	n/a	n/a	S105
534.0360000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
534.8100000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
534.8700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
536.9540000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
537.7540000000	n/a	n/a	Trn No Response	n/a	n/a	S105
539.8560000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
540.6560000000	n/a	n/a	Trn No Response	n/a	n/a	S105
542.7580000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
543.3540000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
543.4260000000	n/a	n/a	FB: +1	n/a	n/a	S  8
545.5120000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
546.1100000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
548.2140000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
549.0140000000	n/a	n/a	Trn No Response	n/a	n/a	S105
551.1160000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
551.6860000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
551.7500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
553.8340000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
554.3780000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
556.4860000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
556.8540000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
558.9540000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
559.4420000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
559.5060000000	n/a	n/a	FB: 0	n/a	n/a	S  9
561.5900000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
562.2660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
562.3240000000	n/a	n/a	FB: 0	n/a	n/a	S  9
564.4080000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
564.8900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
564.9600000000	n/a	n/a	FB: +1	n/a	n/a	S  8
567.0440000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
567.5660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
567.6280000000	n/a	n/a	FB: +1	n/a	n/a	S  8
569.7120000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
570.3460000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
570.4140000000	n/a	n/a	FB: 0	n/a	n/a	S  9
572.4980000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
573.0780000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
573.1480000000	n/a	n/a	FB: +1	n/a	n/a	S  8
575.2340000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
576.0340000000	n/a	n/a	Trn No Response	n/a	n/a	S105
578.1360000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
578.8740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
578.9360000000	n/a	n/a	FB: +1	n/a	n/a	S  8
581.0220000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
581.8220000000	n/a	n/a	Trn No Response	n/a	n/a	S105
